,review
0,"En restaurant af høj kvalitet til yderst rimelige priser. Stedet emmer af hygge og god kvalitet. Man sidder godt i meget hyggelige lokaler og bliver godt betjent af de dygtige tjenere der er søde og opmærksomme.
Både drinks og mad er der kælet for og der er noget for enhver smag.
Et sted der skal besøges helt bestemt og vi kommer igen!"
1,"Klart et sted der kan anbefales! Sød betjening, smukke og hyggelige lokaler og skøn og smagsfuld mad! Vi kommer bestemt igen! :-D"
2,"Denne restaurant er en god restaurant i dette område. Jeg håber, at alle besøger en gang derinde, livet."
3,"Fik burger og øl. Burgeren var ok, men jeg er ikke fan af focaccia som bolle. Betjeningen var god. Pris for mad og drikke er højt, derfor kun 3 stjerner."
4,"Restauranten ligger i hjertet af København.
Super hyggelige lokaler liggende i forskellige højder, der gør at man stadig sidder intimt med dem man kommer med.
Deres mad er super lækkert, til fornuftige priser
Vi spiste soya marineret laks til forret og burger til hovedret, det smagte lækkert.
Vinen er dejlig og deres drinks var fantastiske.
Det er absolut et sted at besøge med venner som en date.
Det kunne også være et hyggeligt sted at få en drink i baren på vej i byen.
Personalet er smilene og imødekommende, engelsktalende. Alt i alt et lækkert sted der er et besøg værd. Prøv det ;)"
5,"Havde fornøjelsen at holde julefrokost med arbejdet, hvilket var rigtig god oplevelse. Maden var god og flot anrettet. Servicen var som den skulle og rigtig hyggelige omgivelser. Alt i alt en godt!"
6,"Vi var 4 voksne , der nød en skøn frokost i de hyggelige lokaler i flere plan. Vi valgte alle 3 valgfrie lette retter fra menukortet , til meget rimelige priser. Der var ingen smuttere imellem. Alt var lækkert og veltilberedt. God information om drikkevarerne. Det søde til kaffen, skal man lede længe, for at finde bedre .
Her kommer vi helt sikkert igen"
7,"Vi var en familie på fire som holdt fødselsdag på Restaurant Tight d.4.1.19 Lige fra vi trådte ind i de smukke lokaler, blev vi mødt af virkelig go service. Vi sad på første sal, her var atmosfæren så hyggelig og med perfekt akustik og belysning. Vi startede med et glas bobler, derefter fik vi laks og carpaccio. Begge dele perfekt tilberedt. Kurven med hjemmebagt brød blev tømt på rekordtid, så jeg nåede ikke at smage Hovedretterne var dampede muslinger, mørbrad, Tight burgeren og kulmule. Ingen ved bordet havde en finger at sætte på maden. Desserten var hjemmelavet is med krystalliseret hvid chokolade, creme brulee og gateau Marcel. På trods af at vi var godt mætte blev der spist helt op. Så lækkert smagte det.
Vi glæder os allerede til vores næste besøg på denne smukke restaurant lige midt i København."
8,"Havde bestilt et julearrangement med fast menu.
Var skeptisk da der mange steder er sparet på råvarerne. Men mine forbehold blev gjort til skamme. Fik god mad, som veltilberedt og yderst velsmagende.
Den tilhørende øl (Svaneke Bryghus) og vin svarede til resten.
Vi sad i underetagen som gjorde at vi var skærmet fra den værste støj, så alt i alt en rigtig god oplevelse.
Det eneste minus var betjeningen i starten. Der var travlt, så der gik lidt for lang tid før vi fik drikkelse og den første del af menuen. Men det blev bedre i løbet af aftenen."
9,"Jeg fik deres frokost. Her mødte tre super lækre ""små retter"" jeg valgte laks, sild, og hønskødssalat. Og der er faktisk meget for pengene. Her spiser du i den absolut lækre ende af skalaen. Hver ret er der smagsmæssigt kælet for, der er både tanke og fortælling bag de små retter og de er tydeligvis skabt fra hjertet.

Derfor får De 3xL og fem stjerner :)

Lækert - Lækert - Lækert"
0,"Min kæreste og jeg besøgte i september restaurant tight. Det var en rigtig skøn aften, på den bedste restaurant. Der var skøn atmosfære, mad i topklasse og vores betjening var perfekt. Vi er 100% opsatte på at vores første besøg bestemt ikke var det sidste- vi kommer til at besøge jer igen og igen
Tusind tak for den bedste aften
Mvh
Gitte og Peter
PS. Beklager den sene anmeldelse, vil anbefale her til alle"
1,"Virkelig lækkert mad, højere standard end forventet. Store portioner. Hyggelig indrettet og skøn stemning.Du får meget for pengene. Kan varmt anbefales."
2,"Jeg har lige været inde og spise på Tight med 3 venner. Vi fik den lækreste mad og den bedste betjening. Ikke nok med det var det et meget hyggeligt sted, med gode rammer. Kommer helt sikkert igen."
3,"Min kone og jeg spiste der 11. oktober 2018. Kalvekød, mørt som smør, flødesauce med diverse svampe og ribs, plus skysauce. Dertil dejlig californisk pinot noir. Yummy!! Dertil hurtig og behagelig betjening. Vi vender helt sikkert tilbage!"
4,Super hyggeligt sted med god atmosfære. Fantastisk lækker mad. Prøv deres burger som er noget anerledes og smager fremragende. Venlig og professionel betjening. Fornuftige priser.
5,"Tight er en behagelig oplevelse både hvad angår personalet, maden og stemningen på restauranten. Det anbefales at bestille bord."
6,"Vi havde en rigtig skøn aften på restaurant Tight. Det er nogle rigtig fine lokaler med lækker indretning og en dejlig placering. Tight ligger midt i København, men uden at der er for meget støj og larm. Vi fik en rigtig god betjening og følte os meget velkomne. Personalet var både søde, smilende og profesionelle. Maden levede i den grad op til vores forventninger og vi nød hver eneste bid. Super fint menukort, som var nemt og overskueligt - og med helt rimelige priser. Det fungerer rigtig godt, at der ikke er specielle vegetariske retter, men at mange af retterne kan laves vegetariske. Også et dejligt drikkekort, som både byder på finde alkoholiske og ikke-alkoholiske drikkevarer. Vi takker derfor mange gange og kommer snart igen!"
7,"Dejlig, tilpas frokost med 3 små retter. Alt meget veltillavet og smagfuldt anrettet. Hvis jeg skal skrive et minus : jeg smagte kun champignon i retten med kantareller."
8,"Vi havde en helt perfekt oplevelse på Tight. Spisekortet rummer relativt få retter men med lækre ting i alle kategorier. Superlækkert tilberedt og god imødekommende betjening. Afslappet atmosfære og hyggelig indretning.
Og fornuftige priser!
Prøv Restaurent Tight"
9,"Var her til middag ifm. 'Spis og støt Kræftens bekæmpelse'. Det var en udsøgt fornøjelse. Lækker, lækker mad og et super hyggeligt sted. Kan varmt anbefales."
0,"Det er virkelig en restaurant, der ikke går på kompromis. Sammenholdt med prisen, finder du ikke et meget bedre sted i København. Du skal smage deres blåmuslinger :-) Mums!"
1,"Hyggeligt sted, virkelig sødt personale, og fantastisk mad, virkelig virkelig lækkert. Gode vin, alt i alt, et super godt spise sted."
2,"Nu har jeg og været forbi restaurant Tight op til flere gange, og jeg har altid gået derfra med en virkelig skøn følelse!
De serverer utrolig lækkert mad, udviser skønt service, og har en virkelig flot indrettet restaurant, som føles helt eksklusivt og utrolig nordisk.
Det er rigtig søde australske folk som ejer restauranten. Jeg vil til hver en tid anbefale!"
3,Superb mad til prisen og nærværende betjening. KLART et besøg værd . Gode enkle råvarer men yderst komponeret
4,"Besøgte restauranten med nogle gode venner. Vi fik en lækker kænguruburger til hovedret og chokoladekage til dessert. Desværre var der stadig jord på kartoflerne, og de føltes knasende - og de måtte derfor efterlades på tallerkenen. Desserten var ok og havde en god balance mellem hindbær, blåbær og den søde kage. Ok besøg, men der går nok noget tid, før vi vender tilbage."
5,"Fik en 3-retters menu. Muslinger som starters, der var helt fantastiske med en meget lækker flødesovs! Ribben til hovedret, der også var vildt gode med masser af snask! Til slut en dejlig Desert. Til slut skal nævnes den fine service. Vil klart komme igen!"
6,Min kone og jeg var her i dag. Vi havde købt en sweet deal til denne restaurant med 3 retter. Oplevelsen var helt i top. Super lækker med med en super betjening. Ikke sidste gang vi kommer her.
7,"Vi blev betjent som royale, af vedkommende, lyttende og professionel personale. Fleksibel, idet, selvom det var en set menu, fik vi lov at udskifte en ret med noget andet. Vi blev spurgt til madden og da vi ""klagede"" over at muslingerne var nået at blive lidt kolde ved serveringen (men ikke nok til at trække ned i bedømmelsen) blev vi strakt tilbudt ""kompensation"". Så helt igennem en super oplevelse, vi gerne kommer tilbage til."
8,Vi var fem inde og spise hos Tight. Stedet er bestemt hyggeligt. Vi bestilte lidt forskellige hovedretter. Jeg fik min pasta med Portobello først. Den var desværre kun lun (ikke varm). Det blev så helt ødelagt af at mascapone cremen på toppen var iskold. Må være taget direkte fra køl og så toppet på den ikke særligt varme pasta. Øv.
9,"Vi fik nogle lækre muslinger til forret, og efterfølgende fik vi henholdsvis en lækker flanksteak og jeg selv en rigtig lækker laks."
0,"Vi var 8 mennesker og fik alle 3 retter. Stedet har en hyggelig atmosfære, maden smagte helt fantastisk og var flot anrettet. Navnet passer godt til stedet, da vi sad lidt tæt omkring bordet."
1,super hyggeligt sted med fantastisk mad og god service.priserne er rimelige og portionerne er tilpas.
2,"Maden var super god mad , og stemningen hyggelig.
Vi var 9 personer og fik desværre et bord , hvor det var meget svært at tale med hinanden .
Dette påtalte vi , og vi fik 2 flasker vin , som plaster på såret .
Efter 15 min blev vi anvist et nyt bord , hvor vi alle kunne tale med hinanden .
SUPER SERVICE ...."
3,"Vi besøgte restauranten en fredag aften, og det var en behagelig oplevelse. Vi fik hurtigt vores bord, og havde med det samme mulighed for at bestille drikkevarer. I det hele taget var betjeningen og serveringen meget hurtig, høflig og kompetent.

Maden vi fik var forårsruller til forret, surf n turf til hovedret og cheesecake og marengs til dessert. Alt sammen var delikat og fuldt tilfredsstillende. Marengs desserten stod noget i skyggen af cheesecaken, men det kan den næppe lastes for.

Atmosfæren og omgivelserne er hyggelige og uformelle. Som så mange steder i København er det nødvendigt at kunne begå sig på engelsk for at kunne klare sig, men det burde ikke afholde andre end de ældste potentielle kunder fra at opsøge etablissementet."
4,"Besøgte restauranten en torsdag aften. Super betjening, super mad, super god oplevelse, og meget fornuftige priser! Alt i alt til 6 stjerner"
5,"Australsk restaurant med personale der kun taler engelsk.
Vi fik forskellige retter for at prøve køkkenet om det var ok?
Jeg fik bla. en australsk rigtig mør bøf på ca. 300 gr samt div. tilbehør.
Min datter fik 2 forretter i stedet som smagte rigtig godt.
Vi sluttede af med 2 gange dessert, en ostekage og en citron sorbet som begge var hjemmelavet, Rigtigt godt. Vores tjener, en ung pige, var Meget opmærksom på hele tiden at gøre det godt for os.
Vi kommer helt sikkert igen og så var der 20% rabat fra R2N, så det var også værd at tage med."
6,"Vi havde en super hyggelig aften med god mad og gode drinks. Jeg er ikke vin, men er vild med cocktails. Deres menukort inkluderede cocktails og de var super gode. Atmosfæren i restauranten er hyggelig og tjernerne var super søde-"
7,"Et rigtig hyggeligt besøg med god mad og venlig betjening. Fik surf’n turf (“lille” størrelse) med lækre rejer og mør bøf😋 God stemning og atmosfære, kommer gerne igen."
8,"De serverer ganske enkelt suveræn lækker, velsmagende og flot udseende mad med et charmerende twist og fransk, canadisk og australsk særpræg. F.eks. Steak med kæmperejer og skaldyrs sauce. Super god og hurtig betjening - selv om der var travlt. Men vær opmærksom på at det hele foregår på engelsk, hvilket dog giver en yderligere dimension til oplevelsen af, at være meget langt væk i en charmerende hule."
9,"Super hyggeligt sted og stemning. Venlig og opmærksom betjening, meget positivt. Rigtig lækker mad, bør opleves og kan klart anbefales"
0,Fantastisk atmosfære. Betjeningen er venlig og opmærksom. Maden er upåklagelig og virkelig lækker. Vinen er i top. Menukortet er unikt med bla krokodille steak og kænguru suppe. Portionerne er store og virkelig lækker anrettet. God valuta for pengene.
1,Man får ok service og mad ligeså. Som en frokostrestaurant er det helt fint. Vi havde en deal. Til den pris er det helt fint.
2,"Tight er bare en sikker vinder hos mig når jeg vil være sikker på et godt måltid til gode penge... Og idag fik jeg imponeret min mor der smagte jeres espresso martini, og var vildt begejstret! Jeg ved 100%, at jeg kommer igen, vi ses! Ps: også altid god service!!"
3,"Venlig betjening, og gode omgivelser til en ""datenight"". Jeg fik deres ""pappadelle pasta"", som de uden problemer gerne gjorde vegansk. - ved at fjerne mascapone, gætter jeg på."
4,"Super venligt og personale, samt lækker mad og gode drinks til en overkommelig pris. Kan helt klart anbefales"
5,"Tight er og bliver én af mine ynglings restauranter i København, da man får rigtig lækker mad, som er lavet af gode råvarer. Samtidig er positionerne i en sådan størrelse, at jeg altid bliver mæt! Er man I København, så bør man prøve Tight!"
6,Tight er en restaurant der aldrig skuffer. Her er et alsidigt menukort og gode vine. Prøv deres sauvignon blanc fra marlborough til en god pris. Husk at reservere bord!
7,"Særlige anderledes frokostretter. God betjening. Fine priser. Hyggelig sted, dog noget mørkt på 1. Salen"
8,"Vi er en privat kulturklub, der skulle på tur søndag den 03.09.17. Jeg havde fået Restaurant Tight anbefalet af en veninde, og jeg må sige, at vi blev absolut ikke skuffet. Vi var mange, der fik deres Tight Burger, og den var aldeles fremragende. En noget anderledes udgave end de sædvanlige burgere. Gode råvarer, godt tilberedt, meget velsmagende. Kan absolut anbefales. Venlig, høflig betjening, hyggelig atmosfære og rent. Det er ikke sidste gang, jeg besøger Restaurant Tight."
9,"Tight har jeg været på op mod 10 gange vil jeg tro og jeg går aldrig derfra skuffet.
Maden er god hver eneste gang, og alle de ansatte er altid super søde og hjælpsomme. Lokationen er fantastisk da den ligger på Strøget og så er selve restauranten hyggeligt indrettet. Virkelig en god restaurant."
0,jeg har før været på tight hvor at middagen var udsøgt. Denne gang var vores muslinger halvkolde dog stadig velsmagende. Min surf and turf var som husket en oplevelse værd. Hvis du mangler et sted at spise en god frokost som er over Jensens Bøfhus eller andre af samme kaliber så er Tight klart at foretrække i indre København.
1,"Altså der var absolut intet i vejen med vores mad. Den havde masser af smag og der var bestemt tænkt over anretning. Det er det der er deres fokus men der er nogle hængepartier som desværre er svære at overse.
Eksempelvis sidder jeg nu i skrivende stund og venter på min dessert på 35 minut i en ikke så travl restaurant. Så er du sulten NU er det nok ikke her du skal sætte dig.
Det koster men smager derefter så det var meget middelmådigt at best."
2,Var der sammen med en ven. Vi fik begge burger der egentlig var fine nok men ikke rigtig smagte af noget. Betjeningen var venlig og kompetent.
3,"Maden var rigtig god, og aldeles tilpasse mængder efter egen mening. Atmosfæren var også rigtig behagelig, trods det var ok crowded. Prisen var også til at overkomme, og venligt service. Helt klart et sted man kan anbefale."
4,"Efter en konference havde jeg behov for at finde et sted til en sen middag og et par gode cocktails. Stedet passede helt perfekt til dette behov, og jeg benytter gerne stedet til samme formål igen."
5,Stedet har en god atmosfære og tjenerne var servicemindet. Portionsstørrelserne på maden var gode store
6,Har fået 5 retter med vin menu.. Maden var for længe om at komme og vin 🍷 var der alt for lidt af. Vi drak mere vand end vin. Maden var meget lækker og god betjening.. Kommer ikk igen. Vi blev ikke mætte...
7,"Skøn stemning, betjening og menu. Vi har et selskab på 10 personer som alle spiste godt. God betjening og venlighed hele vejen rundt. Gode drinks og god mad til prisen. Kommer helt sikkert igen :-)"
8,"Vi besøgte Tight via et tilbud fra R2N, hvilket er en god mulighed for at se, om det er et sted, vi gerne vil vende tilbage til. Det er det! Meget venligt personale. Glimrende udvalg af retter, der ikke lige er identiske med, hvad man ellers finder på restauranter i området. Tilmed kunne man vælge portionsstørrelser til flere af retterne. Der blev spurgt til, om vi var tilfredse. Jeg måtte dog indrømme, at min bøf nærmest var gennemstegt i forhold til det ønskede medium stegt. Der blev tilbudt en ny, men det kunne jeg ikke spise. Da regningen kom, var der givet en pæn kompensation på det samlede beløb. Pænt tacklet fra restaurantens side! Vi vil gerne komme igen. Dejligt udvalg af forretter og hovedretter (vi nåede ikke dessert). Fik glimrende rødvin til en fair pris. Hyggelig atmosfære."
9,"Vi var 3 som bestilte en ""Deal"", vi skulle havde været der inden kl. 18, men da musical ""we will rock you"" var forsinket blev vores bestilling også. Vi ringede, og der var ingen problem. Vi blev mødt af en meget venlig tjener som viste os til vores bord. Vi fik en 3 retters menu, maden smagte rigtig godt, der var så meget at vi ikke kunne spise hele hovedretten. Maden og vinen blev serveret af en meget sød ung tjener. En helt igennem en dejlig oplevelse, kan virkelig anbefale denne restaurant."
0,"Vi ventede på en burger i 1,5 time.. vi havde nået at komme igennem 2 drinks inden vi fik mad... Maden var ikke noget specielt, og prisen var for høj. Anbefaler ikke dette sted"
1,"Frokost Vi spiste deres frokost burger hjemmebagt brød oksekødsbøf ost champignon sprød bacon og salat og nystegte løg, tilbehør aioli og små kartofler stegt med krydderurter. Alt hjemmelavet flot, glæder mig til næste gang"
2,"Vi har besøgt stedet ca. 3 gange og været fuldt filfredse hver gang. At vi ikke kommer oftere skyldes det relativt begrænsede menukort med kun 7 aftenhovedretter. Disse er dog ligesom det øvrige menukort valgt med omhu.

Blandt hovedretterne har vi har smagt Surf 'n Turf og deres burger. Man kan tilkøbe mere kød til Surf 'n Turf men tilbehøret følger ikke med. Det synes jeg ikke fungerer. Burgeren kunne jeg godt ønske mig i en magrere variant."
3,Hyggelig restaurant med rigtig god mad til rimelig pris! Betjeningen var meget opmærksom uden at være anmassende. De 3 retter var top alle sammen og stedet er rigtig hyggeligt indrettet.
4,"Vi var her en almindelig hverdagsaften.

Vi flyttede bord fordi vi gerne ville sidde ved et vindue og det var de ansatte meget hjælpsomme og imødekommende omkring, til trods for planerne om et større selskab der ville komme indenfor kortere tid.

Maden var god, men ikke særlig australsk. Meget neutral mad som ikke stritter, men er vellavet.

Sød og imødekommende personale."
5,Hyggelig restaurant med betjening i top. Vi fik 3 retter valgt fra kortet. Alle retter blev præsenteret på en yderst apetitlig måde. Alt var tilberedt perfekt. Restauranten er lidt i den dyre ænde. Men absolut pengene værd. Vil til vær en tid spise det igen.
6,"20 års fødselsdag for sønnike kunne ikke have været fejret et bedre sted. Super hyggeligt, mega god mad, virkelig sympatisk og prof betjening."
7,Vi havde en middag på tight og viste ikke noget om hvad vi gik ind til .men en middag i verdensklasse med vin til
8,"Maden - to gange salat var en fin oplevelse. Personligt manglende jeg lidt vinaigrette til, men alt i alt godt. Vi havde hele restauranten for os selv."
9,"Suverænt hyggeligt sted med yderst prisvenlig frokost. Lækker, saftig burger og velskænkede øl med imødekommende og venlig betjening. Helt sikkert ikke sidste gang at vi kommer igen - deres aftenmenu ser også virkelig god ud!"
0,"Exceptionelt godt og væsentligt bedre end forventet. Hyggelig atmosfære, venlige serviceminded personale og suverænt tilberedt mad. Restauranten er hyggelig, god akustik, mange unge +25, hyggelig stemning som bar tydeligt præg af det australske, franske og vistnok amerikanske ejerskab. Personalet talte canadisk-ish men forstod vigtigheden af god service og at være gode værter. Vi fik deres 5 retters tasting menu og det var virkelig godt."
1,Besøgte Tight en onsdag aften. Maden var så lækker. Kødet var perfekt - jeg bedte om Medium rare på min Surf 'n Turf og man må i den grad erkende at det var det jeg fik. Man kunne endda se hvordan min kammerat havde bedt om Medium og hans var lidt mere stegt. Skøn betjening og dejlig imødekommende service. Kommer helt sikkert igen!
2,"Anderledes indretning, hyggeligt sted. Venlig betjening, OK mad og drikke. Lidt høje priser til mængden af mad (for mænd) på tallerkenen."
3,"Hyggelig restaurant i det indre København med mad for enhver smag og et rimeligt prisniveau, der dog ikke er i den helt billige ende. Der er god stemning og er godt bud på en hyggelig aften i København."
4,"Var til personalefest og vi spiste på tight, dejligt mad og venligt personale. Har derefter også været der med kæresten og det var ligeså godt som sidst :)"
5,"Rigtig god mad med anstændig betjening i nogle hyggelige dunkle omgivelser. Jeg fik Surf and Turf, hvilket jeg aldrig havde prøvet før. Det er dog sikkert at det skal prøves igen. Kan helt sikkert anbefales."
6,"God atmosfære. Super lækker mad med et touch. Fik laks og Surf Turf. Wow det var lækkert. Prisleje ok. Bestil bord, der er fyldt op."
7,"Vi fik forskellige hovedretter og desserter. Al maden var veltillavet og lækker. Bestemt pengene værd. Servicen var også rigtig god og meget opmærksom. Jeg var der med udenlandske gæster, men alle talte engelsk, så intet problem.
Det er dog ærgerligt, at man kun kan reservere et bord for 2 timer - vi ville gerne været blevet hængende til cocktails, for der er rigtigt hyggeligt.
Indretningen er gennemført med flere etager med få borde på hver. Restauranten virker derfor meget intim."
8,"Rigtig hyggelig indretning, og god mad, vi hyggede os meget derinde, en smule dyrt i forhold til maden, men stadig et sted jeg gerne kom igen."
9,"Super hyggeligt sted og god service, burgeren jeg fik var ikke lige min hofret, men omgivelserne og personalet trækker det helt sikkert op 👍🙂"
0,"Maden var spændende og god, og man fik en stor portion, men priserne var bestemt ikke små. Stedet er hyggeligt og personalet er venligt og internationalt. Det virker som et sted, hvor folk fra hele verden kommer."
1,"Min kæreste og jeg bestile en forret hver, henholdsvis en udenmærket carpaccio og en fantastisk røget laks, og besluttede os, lidt alternativt, for at dele en hovedret, da vi ikke var så sultne. Det blev til en fænomenal surf and turf, som jeg varmt kan anbefale.

Desværre var vinen vi bestilte der til ikke særlig god. Vi prøvede to glas af to forskellige slags, den ene anbefalet af tjeneren, og de smagte begge som hvad man kan forvente af en 30-kroners flaske fra Netto. Øv."
2,"Havde hørt så meget positivt om denne restaurant, men desværre levede den ikke op til forventningerne. Akustikken var mega dårlig (i hvert fald på 1. sal ved vinduet). Maden var ok, men ikke noget at skrive hjem om. Betjeningen var imidlertid i top!"
3,"Tight er uden tvivl en af de restauranter man skal besøge hvis man som jeg søger anderledes udgaver af det mad vi alle kender. Stedet er super flot og rustikt indrettet og stemningen blandt gæster og personale er i top. Hurtig servering og lækre råvarer. Kan klart anbefale deres burger hvis man er ude efter en anderledes og utroligt velsmagende sammensætning af lækkert kød, svampe, bacon og et godt alternativ til burgerbollen.

Priserne er yderst fair."
4,"Ved et tilfælde fandt jeg dette sted. Jeg så på deres hjemmeside og priserne virkede rimelige og maden så lækker ud. Jeg bestilte bord og det har jeg aldrig fortrudt. Betjeningen er venlig/imødekommende, maden er fantastisk kvaliteten er langt over hvad man kan forvente i forhold til pris.

Jeg tænkte at det kunne jo være et jeg havde været heldig første gang jeg var der, så prøvede det lige en gang til, da min kone og jeg havde bryllupsdag. Endnu engang overgik stedet mine forventninger. Jeg kan bare sige at er man i København, og vil man have en hyggelig middag med god mad til mere end fair priser så er Tight stedet man skal opsøge. Det er i hvert fald ikke sidste gang jeg kommer her. :)"
5,Besøgte stedet for første gang og wauw en super oplevelse. Lige fra man kommer ind ad døren føler man sig meget velkommen. Rart personale og stemning. Maden var simpelthen fantastisk og vi kommer helt klart igen.
6,"Rustik indretnings og atmosfære. Menukortet er ikke så omfattende. Priserne rimelige. Maden tilfredsstillende. Alt i alt et udmærket sted, men jeg synes ikke, det markerer sig på nogen særlig måde. Der var ikke noget af personalet, der talte dansk. Ikke muligt at sidde ude selv om det var en dejlig sensommeraften."
7,Min kæreste og jeg har været der et par gange. Bl.a. til frokost hvilket de vidst desværre ikke har mere. ØV! Maden var rigtig lækker - og af god kvalitet. Klart anbefalelsesværdig.
8,"Lækker mad til fornuftige priser, hyggelige lokaler, sød og opmærksom betjening. Deres menukort er kun på engelsk, men man kan så evt. se dem på dansk på deres hjemmeside, hvis det er nødvendigt. Det bliver uden tvivl ikke sidste gang jeg kommer der igen :)"
9,Super service. Alt spillede. God stemning. Drikkevarerne kom hurtigt og maden var udsøgt. Jeg fik en Pork deluxe - mega lækker smagsoplevelse. Kommer helt sikker igen.
0,"Fra start til slut, fik vi en god behandling. God service, god mad, fine lokaler, lækker stemning og fornuftige priser! Lidt mærkeligt med unisex toiletter, men ellers en perfekt oplevelse! - Tight er klart et besøg eller to værd!"
1,"Vi valgte at tage på Tight alene fordi den havde fået gode anmeldelser på TripAdvisor, og stedet levede fuldt ud op til de rosende ord. Vi blev vel modtaget og modtog en god service hele vejen igennem, lokalerne er utrolig hyggelige og maden var meget velsmagende. Derudover var der adskillige andre retter på menukortet som så utrolig lækre ud, så det er bestemt ikke sidste gang jeg har været der. Eneste lille minus var, at akustikken i lokalet ikke virkede så god, da det efterhånden som der kom flere gæster blev lidt svært at høre, hvad hinanden sagde. Det er dog på ingen måde noget, der skal afholde mig fra at komme igen."
2,"En rigtig god restaurant med en god stemning og betjening. Fik deres burger, der havde fået seks ud af seks stjerner i en test. Den kan jo næsten kun skuffe. Den var rigtig god, men måske ikke helt seks stjerner. Kan varmt anbefale stedet."
3,"Har været der et par gange. De laver en super god burger som er saftig og anderledes. Prisen er okay - måske lidt til den dyre ende for en burger, men den smager godt. jeg kommer gerne igen hvis jeg skal have en god burger."
4,"De leverer forsat det bedste ""cafe-mad"" i byen. Råvarer af høj kvalitet, og virkelig veltilberedt mad. Altid en fornøjelse."
5,"Så umiddelbart lidt dødt ud, da vi gik forbi, men det var MEGET velbesøgt. Super hyggeligt, rigtig lækker mad og ikke mindst god betjening af en frisk og ligefrem tjener... Kan anbefales...!"
6,"Dejlig restaurant i hyggelige lokaler, tæt på strøget. Få retter men rigtig god mad. Internationalt personale."
7,"Servering, mad og forhold er helt i orden. Dog skal man kunne engelsk, da dette er sproget der tales i restauranten. Men flinke mennesker og rigtig god betjening. Mange af deres retter kan fås i en glutenfri udgave, hvilket er et stort plus. Helt klart anbefalelsesværdigt."
8,"tight serverer nogle af københavns bedste burgere. tight er dog meget populær, så der kan være mange mennesker"
