,review
1,"Pizza der virkelig smager mere. Og hyggen i og sidde og kigge ind i flammerne i pizza ovnen er jo altid hyggeligt. Vinen kan fåes bedre, men pizzaerne var super."
2,Store forventninger. Der var en pæn kø allerede før åbningen. Det blev en bedre oplevelse med gode salater og italiensk inspirerede retter. Alt friskt og yderst velsmagende. Absolut anbefalelsesværdigt
3,"Måtte først vente på bord, hvilket udløste et lille glas prosecco for kr. 75!! Herefter LANG ventetid på tre pizzaer, som alle viste sig ubagte (kanten var stadig klæg dej). De to point gives derfor for stemning og god musik ..."
4,"Oliven og Parma skinke er svært at ødelægge, men alle de andre retter var bare ikke gode nok. Priserne er ok, men maden er bare ikke god nok."
5,"Havde hørt om stedets pizza og forventede
At de var helt specielt lækre, men det synes jeg nu ikke. De smagte udemærket men er også pænt dyre så det bør de jo også være !
Lokalet er stort og der er meget støj så stedet er ikke noget for støjsvage ! Personalet virker lidt forvirrede og fortravlede !"
6,"Er du til italiensk mad? Og har du planlagt at besøge Kødbyen?, så kan Mother være noget for dig. Det er et italiensk spisested med fokus på at lave god pizza. Pizza stilen er italiensk, og pizzaen bliver bagt i en klassisk stenovn. Der er fokus på at lave god mad og skabe god stemning, så tag derhen."
7,"Jeg havde bestilt bord til 5 personer Nytårsdag kl. 11. Vi blev taget pænt imod, og personalet var venlige og imødekommende. Men så stopper mit positive indtryk også her. Der var ganske vist nogle salater på bordet, og nogle ubestemmelige, hvide bløde oste, som sejlede i væde, og en rund skoleost uden nogen som helst smag, samt en stor italiensk ost, som passer til pizza men ikke til andet. I det andet rum stod der nogle frisklavede pizzaer, som heller ikke er værd at skrive hjem om, slet ikke som dem på deres billeder. Og så lå der et hvidt brød (I DK kan vi godt lide groft brød samt rugbrød, men det var der ikke noget af, kun 1 slags hvidt brød). Ved siden af brødet stod et glas med nutella og honning og vist nok et glas købe syltetøj. Hvem spiser det udover børn? Vi manglede både youghurt, forskelligt kødpålæg, måske rejer eller anden fisk. Denne restaurant lever slet ikke op til det brunch-niveau, der er udbredt i København. Her kommer jeg ikke mere. Med venlig hilsen Jette Lindgaard"
8,"Lidt hektisk miljø, hvor tjenere spæner forbi bordene.

Men der er god grund til at de har travlt. Der er lang kø til deres meget lækre pizzaer. Vi fik en pizza med skinke og stæk broccoli. Den smagte virkelig godt.

Mozzarellaen vi fik til forret blev desværre serveret meget kold, så den smagte ikke af meget."
9,"Intet at komme efter mht maden - men havde bestilt bord som blev tilgængeligt godt 20 min for sent. Der gik så ca 15 inden vi fik menukort og derefter ca 30 til vi havde de bestilte pizzaer. Klagepunket er dog primært at vi blev bedt om at forlade bordet inden der var gået 1,5 time, fra vi havde sat os, pga travlhed. Vi måtte derfor tage vores resterende vin med i venteområdet/baren og drikke ud der. Al respekt for travlhed, men det er ikke ok at man efter betydelig ventetid på både bord og mad bliver smidt væk efter 45 min"
0,"Brunch hos Mother er en rigtig god idé. Man bliver taget hjerteligt imod af det søde personale. Mothers brunch er bestemt ikke en traditionel brunch, men er i stedet et stort udvalg af forskellige retter og salater, oste, brød og naturligvis italiensk pizza i høj kvalitet. Røræg og bacon må man derimod ikke forvente. Mothers kaffe er virkelig god. Alt i alt er stedet en rigtig god oplevelse."
1,"Var der med et par kollegaer til frokost. Flot sted med mulighed for at sidde ude når vejret tillader det

Det var en sød og hjælpsom tjener som tog i mod os

Da de tilbød en risotto med svampe skulle det prøves, så 2 af os bestilte risotto og den sidste en panini

ALDRIG har jeg fået så dårlig risotto, eller det kunne man ikke en gang kalde det risotto da det mere var løse ris med svampe på og det hele var så tørt at det næsten var pinligt

Det var jo helt langt ude at sidde på en Italiensk restaurant der ikke ved hvad en risotto er. Normalt ville jeg påtale at en ret er mislykkes, men det her var så langt fra at vi ikke gad bruge vores energi på så dårligt et køkken. Min kollega der fik panini var på ingen måde tilfreds så ja det var helt sikkert sidste gang her"
2,"Pizzaer og forretter af høj kvalitet, men vi ventede meget længe på maden. betjeningen venlig og opmærksom."
3,Slatten pizzabund og hård kantskorpe. Alt for meget “vådt og klæbrigt” fyld. Faktisk elendige pizzaer.
4,Vi var 3 voksne og 2 mindre børn til brunch. Restauranten var tæt på overfyldt - dette fordi der var svært at komme frem og tilbage til bordene med buffet. Maden er ok - betjeningen fortravlet. Samlet ok uden at være noget specielt
5,Middelmådige pizzaer og utrolig ringe service. Ventetider og tjenerkaos på Monthy Phyton nivea. Kedelig vinkort - må håbe at deres vinbar er bedre.
6,"Dejlig sommeraftener hvor der var proppet udenfor, men plads at få indendøre. Vi fik tilsammen prøvet 5 forskellige pizzaer, som alle var lækre. Dertil opmærksom betjening."
7,Pizzaerne i sig selv var vanvittig godt. Burrattaen var rigtig dejlig og cremet. Service var noget arrogant og ligeglad. Kommer ikke igen for servicen skyld.
8,"Vi blev anvist til baren og bestilte en drink. Fik at vide at der ville gå 15-20 min, før vi ville få et bord. Det gjorde sandelig også. Efter 35 minutter fik vi et bord og efter yderligere en halv time fik vi endelig liv til at bestille. Vi overvejede at gå, men bestilte alligevel en gang blandede bruschetta og 3 pizzaer. Bruschettaerne havde ikke meget med bruschettaer at gøre og bestod af neutral humus på lige så neutralt flute, en anden med et ordentligt lag dåsetun og FN kedelig artiskok på toppen. Skrupsultne så vi frem mod hovedmåltidet. Pizzaerne var sjappede, våde og med fyldet klodset lagt på. En af dem havde store bundter broccoli og en del chili. Mærkeligt udtryk og smag. De andre var endnu dårligere både i snag, konsistens og udtryk.
Bevares, tjenerne knoklede, men det hjælper ikke når maden er laaangt under niveau. Efter 2 timer og 20 minutter kunne vi slukørede og 600,- fattigere køre hjem og tage en rugbrødsmad."
9,Mother er et super hyggeligt sted og de laver vildt gode pizzaer - men betjeningen er dog ikke på samme niveau - fed stemning i Kødbyen generelt
0,"Har prøvet det to gange.
Én gang da de åbnede og anmelderene stod i kø for at rose dem (forstår jeg stadig ikke!), og igen for 6 måneder siden.
Begge gange lige ringe. Kedelig smagsløs pizza, og en ventetid som burde halveres.

Nu er jeg lige kommet tilbage fra Napoli, og mens jeg husker hvordan rigtig pizza smager, ville jeg lige anmelde Mother."
1,"Pizze er som de bør være (næsten i niveau med Bæst) - service er ok! :) det er et besøg værd, men vær opmærksom på, at der kan være temmelig fyldt, med ventetid som resultat!"
2,"Man kan sige, at stemningen i den gamle Kødby er bibeholdt, når man træder ind i det rå lokale, der minder lidt om min gamle viktualiehandlers forretning. Dengang sådan nogle fandtes. Betjeningen var udelukkende engelsktalende med østeuropæisk accent, og nogle tjenere virkede mere serviceminded end andre (vores var godkendt). Det bestilte bord havde man ikke check på, men efter lidt indledende forvirring vi fik da en rimelig god plads indenfor med udsigt fra de enkle træbænke til den store stenovn. Pizzaerne ligger prismæssigt i det høje leje (billigste - en Margarita til 85 kr.), så man forventer sådan set noget ekstraordinært, hvis man skal slippe 130-155 kr. Deres prosciutto til 130 var lidt til den underbagte side, tomatsaucen ikke helt i balance, og pizzaen som sådan ikke meget bedre, end den min lokale gastronomi-pizzaiola laver til 70 kr., så jeg fortrød,at jeg ikke havde bestilt en Marinara, som så langt mere vellykket ud. Det skal tilføjes,at deres affettati misti (serveret som hovedrete) var ganske velsmagende, bortset fra skinken, som var for sej til at være godkendt."
3,"Super sted med borde udenfor i den gamle Kødby, men så er alt også sagt. Pizzaerne var ringe og ikke med indhold som beskrevet på menukortet. Tjenere som ikke forstod bestilling og heller ikke reklamationen. Ingen viden om vin, ingen is i vandet, dovn sodavand. Det må kunne gøres meget bedre."
4,Super cool restaurant. Ligger i Kødbyen og der er en fantastisk atmosfære. Pizzaer er i super kvalitet og god service. Bestemt et besøg værd
5,Vi ventede i 40 min for at få et bord. 20 min på betjening. Middelmådig mad. Den ligger jo godt og vel det den lever på. Betjening specielt og mad bare ikke godt nok. Bliv væk
6,"Pizzaen var lidt bedre end dem man køber i Brugsen, og betjeningen var ELENDIG.
Dog vil jeg gerne rose opryddere, som konstant tilsikrede at personalet havde fokus på os.

Men skal du ha en pizza... så gå til Neighbourhood på Istedgade. Deres Pizzaer smager VILDT GODT."
7,"Vi har spise vel 15-20 gange på Mother. Jeg har aldrig oplevet en så dårlig madoplevelse der. Rent faktisk fik jeg dem dårligste pizza jeg nogensiden har fået noget sted. Surdejen var nærmest rå, tomatsovsen smagte som en kedelig Knorr og sinken uegnet."
8,"Denne anmeldelse bliver lige så kort, som ventetiden var lang. Vi fik lov til at vente - og hold nu fast i parykken - en time og 40 minutter på vores halvkolde og helsløje pizzaer. Bevares, solen skinnede, fuglene sang og folk ville spise under åben himmel. Men der var alt for mange bænke til alt for få tjenere med tomme blikke, der lovede guld og grønne pizzaer, mens vi rykkede for maden 4-5 gange. Og blikkene gik fra tomme til ligeglade. Vi burde have nappet en burger på det glimrende Tommi’s nede ad gaden."
9,"Med en veninde ankom vi til restauranten ca kl 18.20. Vi bestilte 2 ens pizzaer og et glas vin hver og vand fra hanen. Vinen var der ikke noget i vejen med. Vandet var så med brus... nå men ok.. vi glædede os til pizzaerne...som først kom ca 19.45.. næsten halvanden time efter vi havde bestilt dem vi spurgte flere gange efter maden og fik korte svar tilbage.. først da jeg rejste mig op og henvendte mig til personalet fik vi af vide at pizzaerne snart var på vej...
Dårlig service.. larmende og forvirrende sted.. slet ikke godt til en veninde komsammen...
Og pizzaerne var forresten seje og svære at skære ud.."
0,"Var ellers positiv forberedt på endnu et besøg på Mother (Kødbyen),da vi havde været der i 2017.
Jeg er helt med på konceptet, at man får en plads hvis der er, og at der er reservation for større selskaber.
Vi kom ved 18 tiden, og der var totalt fyldt op, dog blev vi venligt mast ned ved et 2 mands bord , ved døren (vi var 4), nuvel det havde vi jo selv accepteret.
Hvad vi ikke vidste var at der hang et gardin som blæste over på os hver gang døren åbnes, og tilmed forfulgt af den vinterlig blæst der mere eller mindre var en del af scenariet imens vi var der.
Pizzaerne kom hurtigt, respekt for det, jeg havde bestilt en pizza med picante salami, og den salami er sikkert hjemkøbt efter de bedste kvalitets mæssige overbevisninger, men den smagte virkelig som kogt gris med lidt chili. Ikke en særlig god oplevelse. Resten af familen , det samme og det gjorde det bestemt heller ikke bedre at maden skylle “nydes” i en alt for overfyldt restaurant, hvor der overhovedet ikke var mulighed for at føre en samtale.
At spise ude, bør være en oplevelse, hvor man i ro og mag kan hygge sig, snakke sammen og samtidig nyde sin mad.
Total oplevelsen forsvinder når du er omgivet af larm, en banegård af mennesker og KULDE!
Vi forlod restauranten 30 min. Fra vi havde fået vores pizzaer, spist og betalt, ud i marts kulden der iøvrigt havde siddet med ved bordet i den tid vi havde været ved bords."
1,"Vi var her på en onsdag, hvor der var godt fyldt op med kunder. Vi havde bestilt bord til kl. 18.30 og blev bedt om at vente i deres bar sammen med 3-4 andre par, til vores borde var klar. Ventetiden var omkring 5-10 minutter, hvilket ikke var slemt, men det var stadig lidt underligt at vente på et bord man havde reserveret en måned i forvejen.
Vi spiste en tapas til deling og en pizza hver, hvilket var mere end rigeligt mad til to kvinder. Maden var rigtig lækker og betjeningen var fin, på trods af at den bar lidt præg af den fyldte restaurant.
Jeg kan godt anbefale Mother som et godt sted at spise pizza, men den hektiske stemning og lidt for høje musik, kræver at man er opsat på det."
2,God mad og god stemning på en af byens mere populære brunch steder. Italiensk stil buffet med ad libitum pizza. Alt smager godt. Bordreservation er nødvendig.
3,"En af københavns absolut bedste pizza restauranter. Italian style nogle med lidt moderne twist. Stenovn giver en rigtig lækker pizza, gerne med den lækre ekstra lidt brændte kant. Der kan være travlt så betjeningen svinger lidt."
4,Hyggelige autentiske rammer - spiser midt i køkkenet. Den italienske pølse på pizzaen smagte dog rigeligt af gris....
5,Pizzaerne er fantastiske. Deres Italienske retter er også gode. Personalet udstråler en arrogance som er svær at holde ud
6,"Jeg besøgte Mother med mine kolleger. Vi fik en fin forret: Antipasti, lækker og rigelig. Der blev spillet meget høj musik, og vi bad om at få skruet ned for lyden, så vi kunne tale samme. Derefter fik vi pizza og bad om at få skruet lyden ned. Alle 4 pizzaer var bløde i kanten og u-gennembagte, ca. 50% af dem var uspiselige. Og vi bad om at få skruet lyden ned og en flaske vin mere, som vi fik og bad om at få skruet lyden ned. Stedet har en booking politik, hvor man får et bord i 2 timer og for at jage folk videre skruer de op for musikken. Røvsyg musik. Eller for deres egen skyld. Hvem har lyst til at sidde på en restaurant i flere timer og råbe...Kommer der ikke igen."
7,"Kom en lørdag kl 18:30, uden at have bestilt bord. To voksne og to børn. På trods af en fyld restaurant fik vi et 2 mands bord ved døren. Det var lidt køligt. Hurtig bestilling og pizzaerne kom hurtig. God bund, sovs og ost. Havde valgt pepperoni det var ikke lige min smag. Der er meget høj musik og du sidder tæt, der er mange mennesker. Det er ikke et sted i kommer igen."
8,Jeg har nu været på Mother 3 gange og jeg er lige tilfreds hver gang. Deres stenovns pizza er lige mig. Og der er fed stemning og så ligger det et godt sted. Man kan sidde både inde og ude og det er jeg vild med. Og så sker der bare altid noget i Kødbyen.
9,"et af de få steder, det giver mening. at spise ""brunch"" i KBH - lækre diverse italienske småretter og pizzastykker. Pizzaen selv er ikke min favorit. Jeg foretrækker de hårde, tynde og sprøde romerske pizze, fremfor bløde og tykke sicilianske."
0,"Vi fik 2 lækre pizza med en god hvidvin. Servicen var hurtig og venlig og vi fik vores bestilling så hurtigt, at vi blev overrasket. Helt sikkert et besøg værd. 😊"
1,"Har været der flere, men det samme gode resultat hver gang. Super sted, fantastiske pizze med skøn betjening!"
2,"Fine pizzaer som smagte godt, men ikke noget jeg blev blæst bagover af. Bundene havde god smag og der var godt med bid og fylde men de savnede den italienske sprødhed."
3,"I samme sekund vi kom ind følte vi os velkomne. Super veloplagte, opmærksomme tjenere der udstrålede varme og godt humør. Vores piger fik hver en klump dej at lege med/ælte mens vi ventede på maden. Det var et stort hit! Maden er klassisk italiensk; simpel, ærlig og gode råvarer. Rimelige priser. Den eneste grund til at de ikke får 5 stjerner er at der var ulideligt varmt (kortærmet er et must)."
4,"Må indrømme at jeg havde forventet noget mere. Pizzaen var på ingen måde imponerende og til den pris burde den være.Fik en anretning til forret af forskellige oste, pølser og andet. Den var god. Blev også irreteret over at en tjener anviser, en tager bestilling, en kommer med maden osv osv"
5,"Italiensk brunch tá selv bord. Div grønne salater, pizza buffet, ost og pålæg, brød, marmelade, muffin og frisk frugt .. kold juicer og vand. Spis hvad du kan i 1 1/2 time.. 175 kr. Det var rigtig lækker. Fordel at booke bord på forhånd .."
6,"Det er nok den dårligste pizza jeg nogensinde har fået på en restaurant. Bunden var slatten og mindede mest af alt om rå dej, der ikke havde været i ovnen og fyldet man næsten ikke eksisterende. Hvis man er til råd dej med tomat og gerne vil betale overpris for det, så er Mother stedet. Det var på ingen måder de 140 kr. værd, selv en frysepizza havde været et bedre valg."
7,Mother laver god mad og har hyggelige rammer. Kan anbefales til både brunch og aftensmad. Hyggeligt at sidde udenfor og kigge på livet i Kødbyen.
8,"Når det extravagante bliver normal... Super Italiensk morgenmad/brunch!! Sindsyg lækre pizzaer, lækre tilbehør og self den klassiske nutella på (også) hjemmebagt brød..."
9,"Havde bestilt bord, men skulle trods det stå i kø og vente på at få et sammen med alle som ikke havde bestilt. ikke meget formål med at bestille. Betjeningen var mindre meddelsom og virkede nærmest ligeglad med kunderne og sit job. Kan have haft en dårlig dag. Da vi bestiller almindeligt vand svaere hun bare okay, og da regningen kommer er der sat ""filtervand"" (har aldrig hørt det før) på regningen. Vi skulle have bestilt postevand helt specifikt meddelte servitricen. Selve pizzaen var okay, men ikke noget specielt prisen taget i betragtning. Alt ialt ikke et sted jeg kommer tilbage til eller vil anbefale desværre."
0,Mothers surdejsbunde er ret sublime og giver en fantastisk smag. Fyldet er godt og deres charcuteri er altid frisk og velsmagende. Godt at sidde ude om sommeren!
1,"Første gang jeg anmelder en negativ oplevelse, men denne var bare det mest skuffende mad oplevelse, eller mangel på samme.
Det var ikke en special travl perioden mellem kl. 13.00 og 14.30 for personalet, men vi fik desværre serveret to gummiagtige og meget slatne pizza som var meget tæt på temperaturen kold...fyldet var noget der skulle ledes efter, men prisen var i den dyre ende. Det er nu anden gang jeg har denne oplevelse på samme restaurant, og indehaveren samt personalet kan bestemt ikke være sig selv bekendt, hvilket jeg også påtalte til personalet, men uden særlig meget effekt på deres service parameter og forståelse for god kundeservice.
Man fristes til at sige de er ligeglade med kunderne bare der kommer godt med penge i kassen."
2,"Med en baby på 15 mdr. bad vi om lidt pasta, hvilket godt kunne lade sig gøre. Af regning fremgik det dog, at vi havde betalt 75kr for det, da det blev takseret som en pastaret. Da vi gjorde opmærksom på det, blev vi tilbudt et stk. dessert, og det var vel og mærke efter vi havde pakket sammen og stod med tre trætte børn, så det var ikke nogen trøst. Istedet fik vi 30kr tilbage, så altså ""kun"" 45 kr for en lille skål pasta. Dårlig stil :-("
3,Restauranten er placeret i Kødbyen og har en dejlig afslappet atmosfære. Hurtig betjening dog kan det virke lidt underligt at man skal tale engelsk midt i hovedstaden. Bunden på Pizzaen er bare perfekt - har længe savnet sådan en god bund. Sidst jeg fik var i Italien. Gode råvarer og fin egen øl.
4,"Det minder desværre om samlebåndsarbejde - når man kigger i køkkenet.

Råvare er af god kvalitet, men tilberedning og bagetid stemmer ikke overens.

Der er heldigvis andre steder, som ikke servere slatne pizzaer til 150,- stykket.

Kan ikke anbefales - medmindre du er til slatten pizza."
5,"Der var engang da Mother var moderen til de bedste pizzaer i København. Især bundene og diverse ting der blev lagt på de velsmagende pizzaer gav genlyd.

Det er så flere år siden - 4 til 5 år!

Mandag aften kom vi forbi og valgte at slå os ned ved de mange udendørs borde. Der er bestemt hyggeligt i Kødbyen - selv om den gør sig bedst når solen er gået ned.

Vi fik hurtigt to gode øl og snart efter kom forretterne - der ganske enkelt ikke smagte af noget. Brødet der burde være blevet forkælet med lidt tomat og hvidløg smagte af ingenting som af ingenting!

Pizzaerne kom kort efter og en pizza der koster mere end 150 kr er det forventninger til. De blev ikke indfriet

Desværre smagte de to pizzaer heller ikke af ret meget. Bunden var til gengæld næsten gennemblødt og vammel. Kokkens mandag?

Alt i alt savnede maden kærlighed og smag. Når det alligevel bliver til en stjerne skyldes det gode selskab og i øvrigt meget gode service.

I en tid hvor Gorms Pizza og andre vinder frem skal Mother bestemt finde sin indre far frem.

I har kunnet og kan gøre det igen, hvis I selv vil. Indtil videre bliver det uden mit bidrag"
6,"På tallerkenen så pizzaerne dejlige ud , vi var to der fik forskellige pizzaer, med gode råvarer, dejligt uformelt atmosfære. MEN pizzadejen var ikke bagt i hele bunden - dvs undtaget i kanten hvor den var lidt branket. Forstil jer at prøve at skære et stykke i en meget smidig dejmasse - helt umuligt. Synd at stenovnen på stedet ikke var varm nok i bunden eller kunne holde varmen. Til 140 kr. pr- styk. Har fået fantastiske stenovns pizzaer andre steder der var helt perfekte til en trediedel af prisen."
7,"Lad mig starte med at understrege at maden absolut intet fejler! Og til trods for at Kbh, er mere eller mindre kendt for sin dårlige service, så tager det her sted virkelig medaljen. En del af den ubehøvlede servering, bunder uden tvivl i dårlig instruktion og måske også for lav betaling til personalet?! Det drejede sig heller ikke kun om en enkelt personage, der havde en dårlig dag - det var nærmest en gennemsyret tendens bland de mange ansatte, omend nogle selvfølgelig løftede opgaven bedre end andre.

Prisen er, efter in smag, måske også lige til den gode side i forhold til indhold - men det mager dejligt!"
8,"Jeg har nu besøgt Mother tre gange, og har hver gang været meget tilfreds! Fin betjening, og personalet er søde til at give info om ventetid på bord, pizza osv., for Mother ER en travl restaurant med en afslappet stemning. Jeg kan se, at mange kritiserer pizzaerne for deres ""slatne"" og ""bløde"" bunde. Men sagen er den, at Mother slår sig op på at lave italienske pizzaer af gode råvarer og bunden er lavet på surdej - det gør, at den har et andet udseende og konsistens end de pizzaer, de fleste af os får serveret på pizzeriaerne. Jeg forstår godt, at det for nogle kan virke mærkeligt og føles ubagt, men det er sådan, bundene skal være, og måske er det en smagssag, om man kan lide dem. Efter min mening har Mother nogle af de bedste pizzaer i byen, og surdejsbunden gør pizzaen langt mindre tung for maven og den er bedre at fordøje. :) stor anbefaling herfra!"
9,"Dejlig 'loose' stemning. En masse mennesker gjorde, at vi sad tæt med et andet ukendt par. Lidt for tæt. Gode og velsmagende klassiske pizzaer. Vi sad udenfor i solen, hvilket gjorde det til en samlet rigtig god oplevelse."
0,"Skønt afslappet, uformelt og super hyggeligt spisested med virkelig god mad - et af de bedste pizza restauranter i København... Perfekt sted at mødes også til frokost - her er altid masser af unge mennesker, børnefamilier og par, så du føler dig velkommen og tilpas med det samme..."
1,"Vi var en større gruppe på 20 personer, som besluttede sig for at tage på mother og drikke nogle fyraftensøl. Vi var der i 2,5 timer og købte mindst tre drinks/øl hver. I løbet af dette besøg tog det utroligt lang tid (op til 20 minutter og flere omgange rykken), før folk fik deres bestillinger. Vores tjener var uhøflig og blev fornærmet da vi besluttede os for flere drinks, da nogen havde betalt for det de havde drukket. Og til sidst blev vi smidt væk fra vores bord og bedt om at gå op i baren, hvis vi ville blive. Derudover var drinksene dårlige og tynde og man fik ikke hvad man betalte for. Kan ikke anbefales."
2,"Besøg klokken 19:30, hvor vi fik bord med det samme. De unge servicer styrtede rundt og holdet omkring pizza ovnen havde travlt.

Efter at have ventet i mere end en time kom servitricen med fire pizzaer, hver til en pris på et stykke over 100kr.

Det bedste der kan siges er, at pizzaerne var varme. Vi bestilte fire forskellige pizzaer. Alle virkede hastigt og sjusket lavet. De var alle ikke bagt ordentligt igennem.

En helt igennem elendig og dyr oplevelse!"
3,"Det er dejligt med rigtige italienske pizzaer. Betjeningen var på en blanding af engelsk og dansk, men venlig. Er serveringen fungerede hurtigt og godt. Vi var rigtig heldige med at det var en solskinsaften."
4,"Hvis du bil have autentisk italiensk pizza med sprød bund og god smag er dette ikke stedet.

Vi havde ik bestilt bord og fik at vide at vi kunne få et om 20 min. Ok vi kom tilbage og med nonchalance fik vi at viden at vi havde bordet i 1,5 h. Den info kunne vi have brugt for 20 min siden. Til 155kr fik vi en ""Muuh"" pizza. Fyldet kaldte de noget andet men det lignede, smagte og føltes fuldstændig som bresaola. Den smagte som sådan ikke dårligt men var meget blød og dejagtig og var som sådan heller ikke noget særligt. Efter vi havde spist kunne vi godt mærke at de ville have os ud selvom der ikke var gået 1,5 h."
5,"Vi kom til Mother hvor vi fik et bord til 4 personer, men der var ikke meget plads til at rører sig på.
Vi fik bestilt drikkevarer ved et par søde servitricer, hjemmebrygget øl,der smagte udmærket.
Pizza blev bestilt, den billigste kostede 105kr, den dyreste 155kr.
Vi glædede os til ""ægte"" pizza, men det var en stor skuffelse.
Smagen var OK, men bunden var bare en blød dej, uden smag, mindede mere om en frysepizza.
Vi kommer ikke der mere:-("
6,Husk at bestille bord. Fantastisk sted og autentisk italiensk stemning og mad oplevelse. God service og rå indretning.
7,"Jeg må være helt ærlig at sige, at jeg mener, det er en kæmpe falliterklæring, at Mother har krav om, at man bestiller noget bestemt og dyrere (altså minimum 2 retter), hvis man kommer og spiser i en gruppe. Hvorfor er det anderledes at komme 6 mennesker for at købe 6 pizzaer og 6 gange drikkevarer end at være 2 mennesker, der tilsvarende kun køber 2 af hver? Det røg der lige nogle stjerner i min bog samt en fremtidig kunde. Virkelig dårlig stil, Mother!"
8,"Mad nok til hele familien, pizzaerne kan de bare lave til perfektion. Har været der flere gange og kommer gerne igen."
9,"Maden er altid helt i top, det kan man desværre ikke sige om servicen, har flere gange ventet længe på service og fået de forkerte retter pga. tjeneren var for stresset. Men jeg syntes det er det værd da man kan få den bedste anti pasti misto og pizza her!!"
0,"Hvis du er til italienske pizzaer, så skal du klart prøve stedet her. Maden er simpel og udvalget er mere beregnet til en lidt hurtig middag og ikke til den fine lange og stille middag :) Stedet er hyggeligt og servicen venlig."
1,Det var en fin oplevelse at spise på Mother. Der er en god atmosfære og fin betjening. Vi fik hver en pizza som smagte dejligt.
2,"Populært sted i Kødbyen, hvor det er svært at få bord med det samme uden at have bestilt på forhånd. Det var anden gang jeg besøgte stedet i håbet om en bedre smagsoplevelse denne gang. Desværre falder pizzaerne fortsat ikke i min smag. Alt for meget dej, og så er de samtidig slatne / bløde."
