,name,location,bubble,dollars,rating
3,The pizza here is freshly made and they have a great selection of toppings and sides. It was very nice t sit outside in nice weather and have a few beers with friends. Nice and accessible for my wheelchair.,"Wakefield, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
4,"We shared a pizza because we weren't very hungry, and it was plenty. Would have loved to try another.","San Luis Obispo, CA","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"Lovely pizza, wine and outdoor seating. Even had heaters for when the sun was setting and it got chilly. Could tell everything was fresh! A little pricey for what I would normally pay for good pizza but everything is more expensive in Copenhagen. Highly recommend...More","Salisbury, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
6,"Nice, cosi place in the Vesterbro neighborhood of Copenhagen. Great Italian pizza! The cocktails looked nice too, although we had wine. Recommended!","Athens, Greece","<span class=""ui_bubble_rating bubble_40""></span>",,40
7,"Nice place to go with groups, but usually very busy. Pizzas are really big, worth sharing between people to try as many as possible.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40
8,"The reason for 4 not 5 is due to how packed in we were, that's part of the atmosphere I suppose but it was a little too tight for us.

That aside, the pizzas are great, it's quite open plan so that you can see...More","Portlethen, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
9,"Very slow. We were seated and then it seemed like they forgot about us. We had to ask for a waiter so we could order. Busy but not packed so I can’t imagine the service on a night where they are seating outside also! 
Pizza...More",,"<span class=""ui_bubble_rating bubble_20""></span>",,20
0,"I've had lunch at this place, and the food was good. Not spectacular, but good. However, the take-away pizza shop up the road is better.
I came back for dinner: Terrible! Hated it! Can't talk about the quality of the food though. The staff was...More","Ho Chi Minh City, Vietnam","<span class=""ui_bubble_rating bubble_10""></span>",,10
1,"Showed up without a reservation, was lucky to get a seat outside. We had to wait a while for the menu and the drinks menu and then some more waiting to get the waiter's attention. We ordered a bottle of the house rosé and two...More","Reykjavik, Iceland","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,"We were a group of 7, ordered many different pies and were quite happy with our pizza!
Service was excellent","Chappaqua, New York","<span class=""ui_bubble_rating bubble_50""></span>",,50
3,"The place is cute, despretentious and with a familiar vibe. The pizzas are good and well served. The burrata was also very good. It was packed when we get there but fortunately we had made a reservation. It's a bit confuse to try to be...More","Porto, Portugal","<span class=""ui_bubble_rating bubble_30""></span>",,30
4,"I can only comment on the service as we had to leave before getting close to ordering anything.

We arrived about 8pm, waited in a short queue outside and were told the kitchen was behind as it was busy, so we would have to stay...More","Manchester, United Kingdom","<span class=""ui_bubble_rating bubble_10""></span>",,10
5,Don't know what everyone's moaning about. The place was very busy- because the pizza is fantastic !! - excellent sourdough base and very fresh tasty toppings. One of the best we've had ( including Italy) Yes the tables are close together- yes we had a...More,,"<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Despite a nice place, all the waiters are under the hard control of the manager who is really unfriendly. It’s not a restaurant but a factory for tourists.
However the pizza were quite good.",,"<span class=""ui_bubble_rating bubble_20""></span>",,20
7,"I've enjoyed Mother in the 4 years I've been in Denmark.  In the past year, it has changed and not at all in a good way.  The pizza is still decent especially if they can serve it hot.  But the service needs a lot of...More","Gentofte Municipality, Denmark","<span class=""ui_bubble_rating bubble_20""></span>",,20
8,"Didn’t think it was possible, living in NYC where we have the best pizza, but the pizza was amazing. Service slow.",,"<span class=""ui_bubble_rating bubble_40""></span>",,40
9,I came to Copenhagen with a friend back in October and then again this weekend just gone. Both times the result was the same - good pizza but a team of staff that looked like they'd been reading Nietzsche all afternoon before their shift and...More,,"<span class=""ui_bubble_rating bubble_20""></span>",,20
0,"The pizza here was absolutely amazing! I had the salamina pizza and loved it. If you like wine, have the red wine that Mother makes - so good! The only thing that I didn’t like was how crazy hot the restaurant was - definitely was...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Wonderful pizzas for Copenhagen ,
Nice place , in and out.
Service a bit slow , not always attentive.

Waitresses more keen on gossips than clients","Paris, France","<span class=""ui_bubble_rating bubble_30""></span>",,30
2,"A cool bar spread across three floors, offering some limited wine tasting with fresh buffet style hot and cold nibble food and a great location to talk and hear some sax and double bass. Quite pricey at 950 DDK for a few glasses and food...More","Cambridge, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
3,"Our group of four tried 3 different pizzas on a Sunday night. The pizza was great, but the service was really slow. Our server was pleasant, but she was working way too many tables. 

4.5 stars for the food. 2 stars for the service.","Birmingham, Alabama","<span class=""ui_bubble_rating bubble_30""></span>",,30
4,This is a very busy pizza restaurant in the meatpacking district. We put our name down for a table and returned an hour later where we had a drink in the bar until our table was ready. It is a crowded place with tables close...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
5,"Really lousy experience! Went to ""Mother"" on a company outing. Turned out that we only had the table for two hours, which I guess would have been fine if they hadn't waited a full hour bringing the food. At the two-hour mark - with coffee...More","Aarhus, Denmark","<span class=""ui_bubble_rating bubble_20""></span>",,20
6,Jumped in to this place to escape the rain and glad we did. Place was packed for a mid-week night but we were given a table quickly. Pizza was good as were the wine options and all served by very friendly staff.,"Basel, Switzerland","<span class=""ui_bubble_rating bubble_40""></span>",,40
7,"quality of the pizza is not anymore at the same level.
After 6 years quality of the pizza and experience itself you can live at Mother changed a lot.
I won't chose it anymore.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_20""></span>",,20
8,Deliciouspizza here for dinner. The palce was absolultly packed (Thursday evening) and we were squeezed into a table but the food was well worth the slight inconvenience. Not sure you can book but that might be a better idea than just turn up as we...More,"Braintree, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
9,I’ve been there for two todays and both days I’ve had a horrible service. The most rude girl in life it’s the hostess. She ignored me and tried to put me in a table together with strangers but the restaurant was empty. When I asked...More,,"<span class=""ui_bubble_rating bubble_10""></span>",,10
0,We ordered two pizzas. Both were delicious. The service was very good. The only problem was they we seated near a big fridge (the door was continuously opened and closed by the personnel that was not very convenient),,"<span class=""ui_bubble_rating bubble_40""></span>",,40
1,"Celebrating our daughters birthday was a mixed experience. Doing dinner at Mothers in Koedbyen, which was very full of people and noisy but that’s how it is. Waiters were not a 100% up to speed forgetting stuff and comming later. The antipasto was good selection...More","Soborg, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30
2,"Excellent pizza, well worth a visit. Lovely fresh ingredients. Busy atmosphere, clearly a popular choice.","Farnham, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
3,"Not having made a booking we had a small wait while enjoying Aperol Spritz at the bar. Once seated we were served efficiently and our sourdough pizzas came quickly even though the restaurant was heaving.
Delicious well topped pizzas, with a lovely crust were most...More","Perth, Australia","<span class=""ui_bubble_rating bubble_40""></span>",,40
4,"I visited Mother with a friend of mine. The place is usually very busy, so I recommend  booking a table, if you don't want to wait for a long time. The atmosphere was really nice there, it is a nice looking restaurant. We both enjoyed...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"Cozy place, very popular. We share a pizza with couple of glass of wine and turamitsu and choco fondant cake. Total came to 360 Cronw, good price for Copanhagen","Manta, Ecuador","<span class=""ui_bubble_rating bubble_40""></span>",,40
6,"This pizzeria has a great atmosphere and the pizza is very yummy. However, having ordered a vegetarian pizza for around £20 I found a fairly large piece of beef on it - I therefore told a waitress who sympathised being vegetarian herself and was genuinely...More","Oxford, United Kingdom","<span class=""ui_bubble_rating bubble_20""></span>",,20
7,We stumbled across this place on the first night that we were in Copenhagen. It was bustling by 6pm. We hadn't booked but they got us a table within 5 mins (I think we were quite lucky and would recommend booking). We had an antipasti...More,,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Average pizza and service. The prices are ok by Copenhagen standards but it’s all a bit bland. It was very busy but I don’t understand why.,,"<span class=""ui_bubble_rating bubble_30""></span>",,30
9,"I went to this restaurant last night with a friend. I do not eat bread so understood that my options were somewhat limited. I initially decided to order a dish with cheese and rice which was a starter, I spoke to the waiter who advised...More",,"<span class=""ui_bubble_rating bubble_20""></span>",,20
0,"When we arrived we asked for a table of 4, not having booked. The restaurant was half empty and the manager sat us at a small table by the fridge. We then went ahead and swapped tables to a larger one next to it. The...More","Zurich, Switzerland","<span class=""ui_bubble_rating bubble_30""></span>",,30
1,We got pizzas and they erre was very good although a bit pricy but the service was quite poor. We waited around 30 minutes for a table - which is fine considered we didn't booked beforehand on a Saturday night. But then another 20 minutes...More,,"<span class=""ui_bubble_rating bubble_10""></span>",,10
2,Years ago I went to this restaurant. So I was happy that Mother is close to our hotel. We shared pizzas to try different ones. It’s very good and tasty. My favourite is the burrata pizza.,"Amsterdam, The Netherlands","<span class=""ui_bubble_rating bubble_40""></span>",,40
3,"Does this restaurant serve the worlds best pizza? At least it's very close..! The restaurant is a little ""rough"" located in Kødbyen in Copenhagen. But don't let that fool you - the service is nice and polite - and if they deliver out of the...More","Oslo, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
4,The pizzas are so tasty and overwhelming that this is a top Pick place to go for pizza and very Well situated in the meatpacking district,"Kongens Lyngby, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50
5,Cozy atmosphere near the brick oven.  Fun to watch our pizza being made.  I would definitely recommend order you own pizza rather than sharing due to portion size.  I got the prosciutto pesto pizza which was good but could use a bit of salt and...More,,"<span class=""ui_bubble_rating bubble_40""></span>",,40
6,"Pizza was ok - no more. After eating we wanted to stay and have another glass of wine, but were asked to vacate the table to make room for a new round of (more profitable) customers. So I guess it is ok for a quick...More","Oslo, Norway","<span class=""ui_bubble_rating bubble_20""></span>",,20
7,"This is located in a vibrant, hip area (an old meat packing district).  The pizza was really good.  One pizza is big enough for two or three people.","Crystal Lake, Illinois","<span class=""ui_bubble_rating bubble_40""></span>",,40
8,"We were two people, we had reserved a table so no wait :)

we were taken into the back and let me tell you the tables in this resturant is so packed that there is max 10 cm space between the tables making it impossible...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_20""></span>",,20
9,We were staying near the Meat District and decided to check out Mother after hearing good reviews.  We were not disassociated.  Great pizza and good cocktails.  Welcoming owner/manager and attentive service.  Would definitely recommend!,"Beverly, Massachusetts","<span class=""ui_bubble_rating bubble_40""></span>",,40
0,"The Pizza was nice, but the service was confused and chaotic.

Wine from one person, pizza from another, water from another, confused looks from another.

I would recommend visiting for the food- but don't forget to tell them to get themselves in order if you...More","Chiang Mai, Thailand","<span class=""ui_bubble_rating bubble_40""></span>",,40
1,We decided to stop in to this restaurant since it looked crowded and that is usually a good sign...  Restaurant is very nice and cocy since ity is an old industrial (meat factory?) building and you can still feel the history. Pizzas were good but...More,"Kempele, Finland","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,"Vent there with my wife, on a Thursday and ordered a veggie pizza without cheese. The restaurant was busy and the staff was running around like crazy. We were served by 4 different people, which was confusing. The pizza I ordered, did not reach my...More","Skanderborg, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30
3,"Quite possibly the worst service I have ever experienced. The host greeting people is incredibly rude and ignored us on many occasions, greeting others before speaking to us. We were then seated without a menu, and waited a further 10 minutes to receive this and...More","London, United Kingdom","<span class=""ui_bubble_rating bubble_10""></span>",,10
4,"We stopped here for lunch, and it was fantastic, almost like being in Italy!  Food, service, and atmosphere were all terrific.","Grand Rapids, Michigan","<span class=""ui_bubble_rating bubble_50""></span>",,50
5,"I loved the vibe of this place. I visited in August and sat outside in the sun with my sister and enjoy wine , olives and more wine. It was cool, great service and I’d love to eat there next time as the food looked...More","London, England, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"This place definitely serves the best pizza in Copenhagen! Delicious sourdough base, perfectly thin, crispy edges and delicious toppings!","Edinburgh, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
7,"Just back from 2 nights in Copenhagen and we ate in Mother both nights as it is hard to fault it. Pizzas are delicious, reasonably priced and the ingredients are unbelievably fresh.
Probably one of the nicest woodfired pizzas that I've ever had. The general...More","Dublin, Ireland","<span class=""ui_bubble_rating bubble_50""></span>",,50
8,"We had a great time at Mother. The pizza was delicious; fresh toppings and crispy base. Bogdan was very friendly,  great banter and gave us great recommendations for the rest of the night. Would recommend 😃","Edinburgh, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"Had to wait to get a table, but that is a good thing. Orderer pizza to main course and it was amazing. Only complaint i had was that the waitress was hard to get a hold on. Wanted dessert, but ended up just paying and...More","Akrehamn, Norway","<span class=""ui_bubble_rating bubble_40""></span>",,40
0,"Hugely disappointing meal after being recommended this restaurant. All three pizzas were completely raw in the middle and inedible. We had to scrape of the toppings and eat those instead. When we complained to the manager Bogdan, he was completely unsympathetic and aggressive towards our...More","Glasgow, United Kingdom","<span class=""ui_bubble_rating bubble_10""></span>",,10
1,"Too long time to order, too long time to get the 2 pizzas after the bruschettas (instead of ""ricotta and 'nduja"", write better ""ricotta with bread and a spot of'nduja""). When I went to ask for the pizzas because it was late for us, I...More",,"<span class=""ui_bubble_rating bubble_10""></span>",,10
2,"My friend recommended this place and he was not wrong. Fun atmosphere, great pizza, and the house red wine good. Wish they took cash, but that is ok.","Hartford, Connecticut","<span class=""ui_bubble_rating bubble_50""></span>",,50
3,"the pizza was not good in terms of taste. the ground was black from below but still not through.
Gnocci was ok.",,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,"Lovely restaurant and atmosphere. 
Pleasant service and front of house.
Food was delicious and filling. Moderate prices, but reasonable compared to standard prices here.",,"<span class=""ui_bubble_rating bubble_40""></span>",,40
5,Fun location in the meatpacking district and the restaurant with adjoining bar were really buzzing and lively even mid-week. The pizza was great and starters (fried salted cod and rice balls/arancini) really tasty. Also found the service friendly even though they were rushed off their...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
6,"were guests at MOTHER in september 2018, just the day before the copenhagen half marathon.

food, ambiance, team: great.

but please don't let your guests sit on tables just in front of the ""cold-storage room"", where your cooks are going in-and-out every 5 minutes.
i...More",Luxembourg,"<span class=""ui_bubble_rating bubble_30""></span>",,30
7,My friend and i were waiting for our food for 45 minutes and i asked the waitress how long we could expect to wait further and she came back and said it was on its way. After 10 more minutes she came with the pizzas...More,,"<span class=""ui_bubble_rating bubble_10""></span>",,10
8,"I love Pizza, I love Copenhagen, and I love the meat packing district as well! Sitting outside on a summer day at Mother is an experience worthwhile. The service is good, the drinks are fine (not the most extensive beer list, but some solid wines),...More","New York City, New York","<span class=""ui_bubble_rating bubble_30""></span>",,30
9,"Delicious brunch with amazing variety of pizzas and other buffet items. Having enquired about whether there are vegetarian pizzas around, the restaurant staff was super considerate, quick and rather proactively ordered for a massive portion of vegetarian pizzas as part of their buffet. Other than...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Delicious brick oven sourdough pizza.  Fresh ingredients, good selection of pre-designed pizzas.  Very popular local restaurant.  Lots of indoor and outdoor seating.  Service was a little slow due to large crowd of people.  Overall great experience and food.","San Francisco, California","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"We stopped in for pizza on a Friday, having just arrived in the city centre. We walked around the meat packing area to check out a lot of restaurants and were lucky to get a table at Mother without a wait. The staff were friendly,...More","Wrexham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
2,"Very bad service, booked table for 10 people and arrived on time but no coordination by the restaurant (table not ready). Quality of food not as good as 1 year ago. Fewer fructs purposed, tomato and mozzarella not renewed for customer. In general we don't...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"We made a stopover at Mother every single day of our stay in CPH. Located at the must-visit Meat Packing district, the restaurant is luminous, comfortable and clean, you can see how food is prepared and everything looks and tastes so fresh and homemade. Besides...More","Barcelona, Spain","<span class=""ui_bubble_rating bubble_50""></span>",,50
4,"We went on a Friday evening, it was packed and we had to wait to share a table. We ordered one beer, one tap water, an appetiser to share and a pizza to share.  The food was average at best and the price was staggering....More","New York City, New York","<span class=""ui_bubble_rating bubble_30""></span>",,30
5,Very cool shabby industrial chic venue with lots of hipster ambiance. Draft craft beers and wide range of wines and other beverages. Was really busy about 8.00 but quite quickly seated and took order. First round of drinks ok. Bruschetta was really just a very...More,"Sydney, Australia","<span class=""ui_bubble_rating bubble_30""></span>",,30
6,"I was here a week ago while on a business trip. Remembered the restaurant from a few years back as being very good and always very crowded.
It was still very crowded but it was not as good as before anymore. The host at the...More","Hulsberg, The Netherlands","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"Excellent pizza, not surprisingly. The fried cod appetizer is also very good, as is the burrata. The appetizer servings are comically small, so be prepared for that.","Boston, Massachusetts","<span class=""ui_bubble_rating bubble_40""></span>",,40
8,"We had dinner at the Mother which was a 5 minute walk from Hotel Tiffany.  It was filled to capacity, but the host got us a table on no time.  It is most famous for its Pizzas which looked awesome but we were in a...More",va,"<span class=""ui_bubble_rating bubble_40""></span>",,40
9,"Very very popular pizza restaurant with long waits for a table. Once seated, the service was poor, had to ask for menus, starters and pizza arrived together. The pizza was average.","Glasgow, United Kingdom","<span class=""ui_bubble_rating bubble_30""></span>",,30
0,"The ambient is actually my favorite part of this place. The food was very good, yet it was a bit more expensive. I like the area where the restaurant is situated. I would recommend this place for everyone who would like to eat a good...More",Slovenia,"<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"We visited in august for dinner around 5.30pm. The service was good but 1 of the waitresses was rather miserable. 
The pizzas are good and lots of choice.  The veggie one was really tasty. 
Over £100 for a family of 4, which in my opinion...More",London,"<span class=""ui_bubble_rating bubble_40""></span>",,40
2,"Good concept, agreeable pizza for Denmark but having to wait for an hour for food at a pricy pizzeria is not ok for a Tuesday evening. Most of the staff are young kids from Eastern Europe pretending to be Italian - up’s the quality of...More",,"<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"Outstanding and reasonably priced red wine selection! Awesome pizzas! Artichokes, anchovies.... all our favorite toppings, and a basic margarita or vegetarian if you want something easy. They take visa :) friendly staff and awesome meal in trendy area of town!","Atlanta, Georgia","<span class=""ui_bubble_rating bubble_50""></span>",,50
4,"Me and my family had Pizza last week. I travel a lot internationally, I must say this is 
a goo 98% italian neoplitan style pizza. They use good raw materials. Good choice for wine as well.","Pavia, Italy","<span class=""ui_bubble_rating bubble_50""></span>",,50
5,"Pizza here was excellent. The table sharing outside was lots of fun for us- not optional it seemed! But allows for more interaction with locals. Funny spot down a blue and white alley, but everything was delicious and friendly staff.","St. John's, Canada","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,Found this place whilst on a bike trip around the city and we’d seen it advertised. Mother is in a very hip area of Copenhagen and is surrounded by other cool restaurants. We arrived and Sunday is brunch which was ok but maybe a little...More,"Dorking, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
7,"We came to Mother wednesday evening, where they weren't so busy and got a table straight away. First thing I was very surprised about was the prices - they are really really high, but OK, we have paid more than 20 Euro for a pizza...More","Roedovre, Denmark","<span class=""ui_bubble_rating bubble_20""></span>",,20
8,The pizza here is excellent and the staff are very friendly. On a very busy evening we waited over an hour for our pizza. Other people came after us and had ordered and eaten before we had been served. As we were with children and...More,"Paris, France","<span class=""ui_bubble_rating bubble_30""></span>",,30
9,We love visiting Mother for its fantastic pizzas when we come to Copenhagen.  The restaurant is always busy so booking ahead is important.  Space is at a premium so be prepared to squeeze around a table. The bruschetta is excellent and the pizzas are fantastic...More,"Hitchin, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Arrived at 6pm with our young children (7,10). We sat outside and had bruschetta (delicious), prosciutto (delicious), three pizzas (over ordered). Service was great. Italian style pizza very good. I only wish there were more entree options than pizza. Otherwise, delicious family friendly place.",,"<span class=""ui_bubble_rating bubble_40""></span>",,40
1,"The pizza was of great quality. The place was beyond crowded and we had to wait 50 minutes for our pizzas, which was expectable considering the crowd. Although tasty, my pizza was by no means warm. Overall a good experience, even considering the pricy pizzas.","Berlin, Germany","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,"Recommended by our Airbnb host as best brunch in area.  Pricey so go hungry and you can fill up on various pizza, meats and cheeses, pastries, fruit.  Coffee is extra; probably didn't need to order that second cup.","Austin, Texas","<span class=""ui_bubble_rating bubble_40""></span>",,40
3,We were early on a sunday and therefore got a place pretty easy. We both ordered The classic margarita and really liked the pizza. The sourdough was tasty. Service was fast and friendly. The restaurant itself is pretty stylish.,,"<span class=""ui_bubble_rating bubble_40""></span>",,40
