,name,location,bubble,dollars,rating
0,This restaurant was recommended by our hotel when we said we liked seafood. As we were only in Copenhagen for 2 nights and hadn’t made reservations ahead of the trip we could only get a table at 6pm which is a bit early for us...More,Worcester,"<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Located in an old butchery, this is a really nice seafood restaurant, the cusine is nordic, so do not expect huge portions but the taste and the freshness of the fish and seafood is very high!

Prices over average but you always need to reserve...More","Munich, Germany","<span class=""ui_bubble_rating bubble_50""></span>",,50
2,We had high hope for this restaurant as it was actually recommended by another restaurant we couldn't book. Everything seemed great when we first arrived (though I did notice some small insects flying away when we sat down at our indoor table). Our waiter seemed...More,,"<span class=""ui_bubble_rating bubble_10""></span>",,10
3,"When you are looking for fresh fish and relaxed hipster ambiance, just go there. Its top class without beeing pretentious or nosy. All staff is taking care of you, including the chefs. Quality of everything is 100%
We were invited to tour the kitchen!
Reserve...More",Stockholm,"<span class=""ui_bubble_rating bubble_50""></span>",,50
4,"We arrived with very high expectations, but left slightly disappointed and a whole lot poorer!

The service is relaxed, friendly and worth coming back for. Our waiter selected a fantastic wine we'd never seen before, but that we'll now buy a case of.

The starters...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This restaurant had been recommended to us and we were not disappointed. It was an easy bus trip, followed by a short walk into the old meat-packing district. Friendly staff attended to us immediately at our outdoor table. We started with complementary bread with seaweed...More","Waverton, Australia","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"We dined at the fiskbar on two occasions in Copenhagen, the first just using ""restaurants near us"" and the second as we were impressed and wanted th complete experience.
This is a quirky restaurant located in the developing meat packing district in Copenhagen.  The buildings...More","Melbourne, Australia","<span class=""ui_bubble_rating bubble_40""></span>",,40
7,"Went here with my girlfriend, had some delicious food here.
Staff was friendly and helpfull, only downside is that we ordered several starts to share, since that was the recommendation, but they served alot of them at once.
We felt the urge to speed it...More",,"<span class=""ui_bubble_rating bubble_40""></span>",,40
8,"The menu isn’t vast, but what they do they do with style. I had the Pike Perch, the squid, the Mackerel and the Scallops. My wife had the Plaice, the seaweed Salad, Squid and Fish & Chips.  All excellent and served one after the other,...More","London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"We had oysters and champagne for starters, slethvar with smoked mussels and seaweed followed by some really tasty moules. Only sad when we realized we were having moules frites without the frites. We had some amazing orange wine with our kulmule and sea buck thorn...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30
0,"Poor service, presentation of dishes by waitresses done quickly and incomprehensibly.
Sufficient product quality but
nothing special.
However I do not recommend this place to eat in Copenhagen.",,"<span class=""ui_bubble_rating bubble_20""></span>",,20
1,"Pro: food is cooked very well and seafood is fresh...
Cons: terrible service. Our first few dishes we served very quickly and we really enjoyed it. However we waited for 40 mins for our next few starter dishes to come. Upon telling our waiter we...More",,"<span class=""ui_bubble_rating bubble_10""></span>",,10
2,Quirky exterior with underplayed decor. Brilliant food and good cocktails. The homemade bread and the sea weed butter is to die for,,"<span class=""ui_bubble_rating bubble_40""></span>",,40
3,"We walked in with high expectations from reading reviews here on TripAdvisor. The first impression was that it’s very cute, trendy and very casual (shorts & T-shirt kind of place). The menu is small and trendy. We ordered mussels for a starter which arrived cold....More",california,"<span class=""ui_bubble_rating bubble_10""></span>",,10
4,"You, too can pay over $100 to have three appetizers and a couple of glasses of wine, while sitting in a parking lot and eating at shared picnic tables.  Waiter was nice, but food was so-so.  Overrated.","Los Angeles, California","<span class=""ui_bubble_rating bubble_30""></span>",,30
5,As a family of seafood lovers we came here for lunch during a recent stay in the City.  What a great find!  Good atmosphere in an interesting part of town and a high quality reasonably priced menu - mussels and fish & chips popular with...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
6,"Meals were excellent; M and I shared a beautiful, delicious zucchini appetizer with edible flower petals and mussels in a cream broth.  Other entres included Fiskebar's version of fish and chips and the fish of the day -- seared hake (wished I had ordered that!)....More","Minneapolis, Minnesota","<span class=""ui_bubble_rating bubble_50""></span>",,50
7,Amazing service from all the staff and really good food. Manages to both relaxed and fancy at the same time.,,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,We got a table inside . The place was busy and buzzing . The wine list is very very long and in small print and expensive . The Sancerre I ordered was undrinkable and has to be returned (quite an achievement for a 2016 Sancerre...More,"Oakham, Royaume-uni","<span class=""ui_bubble_rating bubble_10""></span>",,10
9,We ate here one evening we didn’t book it just passing and it was packed waiter at door very accommodating because it was raining outside asked for table sorry booked out this evening but he said if you would like a drink take a seat...More,cork,"<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Even though not all dishes were of equal amazing taste, the following were truly unforgettable:
Fish and chips (cod), Seared Hake and Pike perch with beetroot. I would not recommend the Scallop (too bland)
They really know how to make fish! Fresh, well prepared, high...More","Limassol, Cyprus","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"I was really pleased with my fish if I disregard the price. It was perfectly done, but it was little food and for 260 DKK, i expected way more. Quite slow service too.","Oslo, Norway","<span class=""ui_bubble_rating bubble_30""></span>",,30
2,"A mixed experience. Good food and rough surroundings.

Starters were good - cauliflower and seaweed salads. The mains were plain but good - one hake and one cod - but there was very little choice. Lovely light wine and decent coffee. 

There was a semi-industrial...More","London, United Kingdom","<span class=""ui_bubble_rating bubble_30""></span>",,30
3,"We made a reservation online notifying about gluten and lactose free alternatives.
Upon arrivial they had no idea about this and we needed to notify every waiter that came to the table. Sort of lack of communication among the staff.
We totally misunderstood the menu...More","Hoor, Sweden","<span class=""ui_bubble_rating bubble_30""></span>",,30
4,"We went on a dinner date at the Kødbyens Fiskebar.

Rustic and cool place with a fantastic vibe.

Did both starters and mains. The scallops and white asparagus as starters. The cod and the hake as mains. All dishes were really good. 

We’ll be back!",,"<span class=""ui_bubble_rating bubble_50""></span>",,50
5,We had a lovely Sunday lunch here. The service was quick and efficient and the food was unbelievable. We ordered the blue mussels which were in a delicious creamy sauce and the muscles were fresh and sweet. We also had the raw perch and white...More,"Perth, Australia","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"We’d heard good things about this place and we were not disappointed. From the moment we walking in the service was excellent, as was the food. 

We tried oysters as well as a selection of the fish dishes - all were wonderful and seasoned perfectly....More","Queretaro City, Mexico","<span class=""ui_bubble_rating bubble_50""></span>",,50
7,"Great seafood! Everyone was really happy with their main courses, really good dessert and drinks as well!","Stockholm, Sweden","<span class=""ui_bubble_rating bubble_40""></span>",,40
8,"Without a doubt, the Fiskebar is one of the most spoken about places in Copenhagen. Having searched for recommendations both from locals and fellow visitors the name has sprung up multiple times, so we had incredibly high expectations as we made our way to find...More",,"<span class=""ui_bubble_rating bubble_10""></span>",,10
9,"We decided after some back and forth that we were to try the two-course menu. It consisted first of scallops cucumbers and horseradish. I'd say this was a pleasant taste of the ocean, and you could truly taste the quality of the ingredients. Second we...More",,"<span class=""ui_bubble_rating bubble_40""></span>",,40
0,"Ordered 7 course and it was amazing, so much variety and good flavours. The service was fast and very nice. It was a really nice vibe inside the restaurant. And nobproblem for wheelchairs.",,"<span class=""ui_bubble_rating bubble_50""></span>",,50
1,I knew I had to try this place after watching the TV series by Phil Rosenthal. It was within walking distance of our hotel so we ventured out to find it. Amazing is all I can say. Fish and chips were fresh and perfectly cooked....More,"Boynton Beach, Florida","<span class=""ui_bubble_rating bubble_50""></span>",,50
2,Has a very strange location overlooking a large carpark so certainly don't go for the views and the seating and setting is quite basic but you are here for the food.  We arrived early at 5:30pm to ensure we could get a seat. The oysters...More,"Singapore, Singapore","<span class=""ui_bubble_rating bubble_50""></span>",,50
3,The fish and chips at Fiskebar was very tasty. The restaurant in the Meatpacking District of Copenhagen is absolutely recommendable. You can watch the hustle and bustle very comfortably. What I will also remember very much is the fine sourdough bread. Unbelievable how it feels...More,"Bern, Switzerland","<span class=""ui_bubble_rating bubble_50""></span>",,50
4,"This restaurant is in the meat packing district of Copenhagen where there are many excellent restaurants, but in our opinion, this was not one of them. First, it is very expensive, even for Copenhagen, which would have been okay if the food would have been...More","Winston Salem, North Carolina","<span class=""ui_bubble_rating bubble_30""></span>",,30
5,"My friends and I visited the city for a culinary trip. We’ve visited 2 Michelin star restaurants, but this casual fish restaurant gave us the best experience. 
A nice bottle of cremant, fantastic fish and the best dessert ever!","The Hague, The Netherlands","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,The oysters are incredible.  Make sure you sample each type to appreciate the differences.  Staff are very friendly and helpful.  Loved eating outside in the sunshine.  Great atmosphere!,"Manheim, Pennsylvania","<span class=""ui_bubble_rating bubble_50""></span>",,50
7,"Casual, busy place. The small deep fry shrimps were outstanding.  Good place to eat without much fuss.  If one loves seafood, this is place for you.

It is located in something like a strip mall.  The place is always crowded so it is best to...More","New York City, New York","<span class=""ui_bubble_rating bubble_40""></span>",,40
8,"All of our friends who had been to Copenhagen said we needed to try this place.

Our plans had changed during the visit so we had to cancel our original reservation and were advised to walk in.

We arrived around 1800 and were seated at...More","Edinburgh, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
9,"Our friends recommended this restaurant and went with us. The location in the old meat-packing district is quite trendy, as is the interior. But the cooking is serious and very good indeed.We had to eat early in the evening in order to get a table,...More","St. Albans, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
0,"Fiskebaren is one of my favorite places in Copenhagen.  

The food you get here is awesome and always at a high level.  I just wish the size of the dishes are larger.  Because I always want more.  

And of course the food is the main...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Went early for lunch when it was not crowded and had the mussels, Hake and strawberries. Amazing fresh with good service. Would return again if given a chance.","Singapore, Singapore","<span class=""ui_bubble_rating bubble_50""></span>",,50
2,"Brilliant area found by a mistake! Vibrant restaurant and great service, really enjoyed all the food we ate there twice","Buntingford, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
3,The meat town's fish bar has a selection of very delicious fish dishes at an ok price. The service is very friendly and efficient. We got two fish and chips and one French beer. It was excellent - and at a reasonable price. But when...More,,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,"This was our second visit to Copenhagen in a year, my husband was keen to eat here as it had been featured on Rick Stein's Weekends and we both wanted to see what the Meatpacking District was like. Some people have commented on how the...More",Switzerland,"<span class=""ui_bubble_rating bubble_30""></span>",,30
5,"This is the place to be if you are in the meatpacking district and adore seafood. It is both perfect for a dinner between friends or an intimate romantic dinner. The oysters are amazing, to the point we ordered another plate after the main courses....More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"I was really looking forward to this dinner. The restaurant is located in the meat packing district. It is beautifully designed with a full bar, outdoor seating and a state of the art kitchen.
We waited for a half hour at the bar for a...More",NYC,"<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"This is a fun, funky place in an industrial building. You will feel like you’re in Brooklyn or some other cool locale. 

The food was fresh and delicious. Great flavors. Even the non-fish dish was good but why not just go with the specialty?","Boston, Massachusetts","<span class=""ui_bubble_rating bubble_50""></span>",,50
8,I and my husband turned up on a very busy Saturday night without a reservation but the staff was very helpful and managed to find us a good table. We ate the chef’s choice menu and didn’t regretted. It was simply delicious from start to...More,"Odense, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,Highly recommend the blue mussels and local beer (not Tuborg or Carlsberg). Great Bread with Seaweed Butter. Make a reservation!,,"<span class=""ui_bubble_rating bubble_40""></span>",,40
0,"Well located in a cluster of restaurants in the old meat packing district,,,great variety of locally caught seafood not cheap but the quality of the food compensates for that","Cork, Ireland","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,Terrific spot for Danish seafood and atmosphere.  The food was terrific and the pork neck was a pleasant surprise.,,"<span class=""ui_bubble_rating bubble_50""></span>",,50
2,"Having sat down starving it took ages to get served! But when the food did arrive it was fantastic. 
Would still recommend going but don’t go starving!!",,"<span class=""ui_bubble_rating bubble_40""></span>",,40
3,"We arrived, hopefully, at 6 o’clock looking for a table for two. We were told that it might be possible at 9:00, possibly earlier. We filled in the waiting time at Warpigs Brewpub, an institution in itself just across the street where everyone was obviously...More","Kassel, Germany","<span class=""ui_bubble_rating bubble_50""></span>",,50
4,"We expected this meal to be a casual seafood dinner, but were pleasantly surprised by the creativity and taste of each dish. We had local oysters, seaweed butter & bread, tomato mackerel, raw mussels, fish & chips, hake, and two desserts. Everything was fantastic. Plus,...More","Chicago, Illinois","<span class=""ui_bubble_rating bubble_50""></span>",,50
5,"Trendy, friendly, casual dining atmosphere in the old meat packing area. Very cool area with lots of restaurants, young people and local professional types. Staff is excellent. The kitchen is very accommodating to special dietary needs. The cod is amazing! Appetizers are interesting.. Give this...More","Toronto, Canada","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Wonderful location in the old
Meatpacking district and near the S line. Creative menu and variations on seafood. Strong wine list and attentive servers.","Boston, Massachusetts","<span class=""ui_bubble_rating bubble_50""></span>",,50
7,"Indifferent service, perhaps based on our lack of pre-booking, or because we only wanted a small snack. The fish & chips had been highly recommended. It was passable. Even the bread and butter looked dramatic, but tasted salty and bland, with no texture. Might have...More","San Luis Obispo, CA","<span class=""ui_bubble_rating bubble_20""></span>",,20
8,The food is absolutely superb; the sauce served for mussels is very unusual and tasty. The desserts are like pieces of art. The waiters are friendly and professional. Strongly recommended!,Ukraine,"<span class=""ui_bubble_rating bubble_50""></span>",,50
9,Went to Kødbyens based on other reviews... and it more than surpassed my expectations.  Extremely fresh seafood... the baked cod was easily the best I’ve had... and every dish was beautifully presented.  The raw mackerel with cherry tomatoes and onion flowers was gorgeous and very...More,"Santa Monica, California","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Set in a rough area, which is now the territory of hip, but wealthy people, this restaurant is serves excellent, refined food in an unusually grunchy  setting. Not cheap but wonderfully presented and of high quality. Service young and fast, and friendly.","Geneva, Switzerland","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"We lay our luck in the hands of the cooks, the sommelier and the whole team and we had a wonderful meal with 7 courses and 5 wines. The food was perfect in composition, texture, temperature and volume, held surprising ingredients and was served by...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50
2,"Had dinner here. Service was friendly, informative, and helpful. I had the halibut appetizer with the hale entree. Both were very tasty and very well done. Wine by the glass limited. The physical plant seemed like it belonged in the meatpacking district: white tile, unfinished...More","Banff, Canada","<span class=""ui_bubble_rating bubble_40""></span>",,40
3,"We had read up about this restaurant as a must visit while in Copenhagen. We did not book, however went for an early dinner to avoid what would be a busy night - before 6pm on Friday 3 May. On arrival the restaurant was 1/4...More","Cape Town Central, South Africa","<span class=""ui_bubble_rating bubble_20""></span>",,20
4,"We had such delicious food, we were quite blown away. We had the Danish oysters, followed by the brill and roe, then king crab and Hake; everything was exceptional. I would highly recommend sharing plates so you get to try as much as possible!","Amsterdam, The Netherlands","<span class=""ui_bubble_rating bubble_50""></span>",,50
5,"We loved it here! We did reserve in advance and were glad we did as it filled up fast on a Friday night. It’s very understated but very cool. We loved the dripping sounds piped into the toilets! 
I tried my first oyster which was...More","Bristol, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"This restaurant serves very good sea food and fish meals in a very relaxed ambiance. We went there for an outdoor lunch at summertime, and enjoyed the animation of the square, as well as the food and wine. This is a good quality to price...More","Paris, France","<span class=""ui_bubble_rating bubble_40""></span>",,40
7,"We went to Kodbyens Fiskebar for a late lunch on our last day in Copenhagen. This is a popular fish restaurant in the renovated Meatpacking District. Maybe we should have asked when the kitchen closed after the lunch service, as we arrived shortly after 2...More",Switzerland,"<span class=""ui_bubble_rating bubble_40""></span>",,40
8,Really vibrant restaurant in the meatpacking district. Menu - very good. We went with a selection of small plates. We snacked on whitebait (was a small portion if I compare to what's served up in very lovely bars/restaurants in Balearics) and then enjoyed lovely fish...More,"York, England, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
9,"We went to this restaurant as had read glowing reviews. The restaurant is situated in the old slaughterhouse complex so the restaurants look like industrial units. This place popular so be sure to book. The fish dishes are amazing, best hake ever. The deserts are...More","Derbyshire, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,Always an incredible meal here. We had 4 starters each more interesting and tasteful than expected. The true surprise was the pair desert which was out of this world. What a consistent high quality unique dining experience.,"Atlanta, Georgia","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,The staff are great fun as well as being informed and efficient.  Young hip crowd but a few oldies (us) too.  We did sharing plates.  Blue mussels were spectacular.,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
2,"Menu offers a wide selection of fish dishes, even tough some of them are tasteless. Quality of food did not worth the price paid. We found the service very slow and below the average. Sometimes TripAdvisor does not give the right picture of a Restaurant....More","Frankfurt, Germany","<span class=""ui_bubble_rating bubble_30""></span>",,30
3,"We ordered the 7 course menu with wine selection and had a really great evening. Both all the courses and the wine was an adventure. Especially the sommelier, he was great, he had a selection of very special wines. Everything was cooked and prepared in...More",Trondheim,"<span class=""ui_bubble_rating bubble_50""></span>",,50
4,"Copenhagen has many good seafood restaurants, but this one is very good. Had their fish and chips as a starter and it was the best I’ve ever had. The cod is smoked, then battered and fried. My husband had the hake as a main course...More",,"<span class=""ui_bubble_rating bubble_40""></span>",,40
5,A coworker highly recommended this restaurant and we discovered why. It's a casual hip version of the local fish bar - white tiled but with round column blue lit fish filled aquarium. We enjoyed an excellent meal of interesting and tasty small plate items. The...More,"Chicago, Illinois","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"I was visit this restaurant last week, they said the best seafood restaurant in Copenhegan, for me the foods just good but not the best and staffs are friendly they know their foods on the drinks list menu alot to selection of beers, wines by...More","Melbourne, Australia","<span class=""ui_bubble_rating bubble_40""></span>",,40
7,"We visited Kødbyens Fiskebar for dinner, the booking system worked perfectly, we got an reminder one day before our dinner, the table was ready when we arrived. Very friendly service, we tasted 7 different dishes, the starters are meant for sharing, all the dishes have...More","Vienna, Austria","<span class=""ui_bubble_rating bubble_50""></span>",,50
8,The people in Copenhagen say that this is the best fish restaurant in the city. I haven’t tried them all but this is an excellent restaurant. We started with a dozen raw Gillardeau oysters. They were expensive but worth every kroner. They were served with...More,"Atlanta, Georgia","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"Something else. 
Kødbyens Fiskebar was meant to be the highlight of a 4 day Danish /Swedish tour. And it was ! What an experience. 
My son had wanted to go for 2 years. We had not been to Denmark before. So we thought to try...More","Newcastle-under-Lyme, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"I thought that this was our fine dining option in Copenhagen.I had been told it was casual, but casual does not convey bare table top, noisy, no nice table setting , typed menu to me. The bread was burned. We had an issue with the...More","Savannah, Georgia","<span class=""ui_bubble_rating bubble_30""></span>",,30
1,"We went on a Monday, and ordered two fish courses and one pork. Everything was very tasteful.
The Hake was just perfect fried and very nice sideorders. The wine list was quite Ok, the beer selection very good. We had super service the whole evening.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,"Is a good resturant with very good food and beer. Is a hole area of restaurants, best restaurants in town.
I coul recommend hali ut for starter and hake for the main course.","Bucharest, Romania","<span class=""ui_bubble_rating bubble_40""></span>",,40
3,We came to Kodbyens because it looked great on Rick Stein's programme but possibly the programme hasn't done it any favours. The food was alright but in no way exceptional. Our waitress was friendly but the service wasn't good [and it wasn't full]. The cocktails...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_30""></span>",,30
4,"We had the 7 course tasting menu. It was excellent as it included 3 small fish plates, a vegetarian small plate, a main fish course, and two desert courses. The tasting was filling and made with an innovative combination of ingredients. This would be a...More","Chicago, Illinois","<span class=""ui_bubble_rating bubble_50""></span>",,50
5,"Everything about this dinner was fantastic. The food was amazing. We asked the waitress for her recommendations, which was a great call - she told us what to order and it did not disappoint. I'd say to order off the ""small plates"" menu so that...More","New York City, New York","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,On a snow storm evening and not so crowded. Went to have some fish and chips.(too salty) Service staff did not give us breads where else other tables when they were seated the bread was served. We have to ask for it. Fine to pay...More,"Brooklyn, New York","<span class=""ui_bubble_rating bubble_20""></span>",,20
7,"Love this place! The vibe and decor so cool, and really like the fact for fine dining its not at all pretentious. Waiters knowledgable know their stuff and food and wine selections so helpful. Had a tasting menu to share which was ideal way to...More","Guildford, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
8,We went for dinner and had a magic meal we ordered a few dishes and shared them between us. Staff were really helpful and I would love to go back!,"Solihull, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"Went for our anniversary dinner. All of Copenhagen (hotel, taxis, metro, museums,...) was super friendly and helpful. Maybe that made the experience here so „special“. While the food (appetizers, cod, hake) and the overall atmosphere/ design were as wonderful as promised, the waitress did not...More",Austria,"<span class=""ui_bubble_rating bubble_20""></span>",,20
0,"The service was friendly but they had less of a selection than I expected and the prices were very high, even by Copenhagen standards. Our food was good but not outstanding.","Sherrills Ford, North Carolina","<span class=""ui_bubble_rating bubble_30""></span>",,30
1,"A group of us had a late lunch here one Friday afternoon.

It’s located a short walk away from Central station in the Meatpacking District of the city.

We opted for the three course set lunch at DKK 300 per person.

This comprised of raw...More","Ruislip, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
2,"It was a short walk to this restaurant from our hotel and it was worth it!  Even for a week night, it was extremely busy so we ate at the bar.  The food was very fresh and the service was outstanding!  Our waitress noticed that...More","Mobile, Alabama","<span class=""ui_bubble_rating bubble_50""></span>",,50
3,"Our experience was excellent from start to finish. This place is great value for money. Jonas and his colleagues took great care to accommodate our last minute extra guest and fill us up with tasty food from start to end. Dishes sampled were brill, mussels,...More","Greater London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
4,"I've reviewed Kødbyens Fiskebar before, but it's been a few years. It is still excellent, with inventive food of very high quality and reasonable prices. The cocktail menu is very high class too. 

We unfortunately got a very long wait for our second serving, but...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50
5,"By far one of the best fish dinning places in Copenhagen,  staff is so welcoming and you feel so welcome.   Food is outstanding and so well tasting.",,"<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Located in the old meat packing district, a great area to walk around before or after dinner, we enjoyed several helpings of fresh fish from the Kattegat. In spite of not having reservations we were seated quickly (beside an equally happy couple from Sweden). The...More","Ottawa, Canada","<span class=""ui_bubble_rating bubble_50""></span>",,50
7,"Had a nice time here with my friends. The quality of the food was great but a couple of the portion sizes were tiny. The whitebait imparticular was tiny. The oysters were beautiful and presented on a bed of pebbles. 
We had the house white...More","Holmfirth, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
8,"Fresh seafood with a modern twist in a trendy dining neighbourhood of Copenhagen. Food was great, but as this place is popular and packed, service can be a bit tardy. Great place if you have a few in your party and have a flexible schedule.","Hong Kong, China","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"We went there without a reservation but luckily they were able there were just to “seats” at the bar. We had a good vieuw over their efficiency! It works like clockwork. The food is terrific, very very friendly service. You will not regret going there....More","Laren, The Netherlands","<span class=""ui_bubble_rating bubble_40""></span>",,40
0,Although a bit hard to find in the Copenhagen meat packing district the restaurant is well worth a visit. There were many delicious   fish dishes and the desserts were both unusual and lovely,,"<span class=""ui_bubble_rating bubble_40""></span>",,40
1,"Honestly, one of the most amazing dinners I’ve ever had. I would have tried the whole menu according to the excellent words I’ve always heard about this place: anyway, tasted oysters (definitely the best I’ve eaten so far), and everything else was perfect, starters and...More","Rome, Italy","<span class=""ui_bubble_rating bubble_50""></span>",,50
2,"Went there for a nice fish dinner and was very much pleased with the food and the drinks...
Friendly service and nice atmosphere...
Maybe the only down side is the tables are a bit too cramped... but that's ok... nothing unbearable... 
All in all a...More","Istanbul, Turkey","<span class=""ui_bubble_rating bubble_50""></span>",,50
3,"Received a tip from the hotel about this restaurant in the meat-packing area. Delicious and not really expensive. The friends who ordered fish and chips took this starter as a main dish.
Don’t miss the deserts. We told the management that the menu description does...More","Stockholm, Sweden","<span class=""ui_bubble_rating bubble_40""></span>",,40
4,Booked table for 3 with our kid after checking out Netflix! And it did exceed our expectation on a cold and windy night. The oyster was the highlight. Specifically the Danish oysters. We ended up having 18 for 2. The scallop was also delicious as...More,"Almhult, Sweden","<span class=""ui_bubble_rating bubble_50""></span>",,50
5,"The service was excellent, very efficient and friendly! The menu is really varied, from traditional seafood dishes to more adventurous ones, and there's an extensive drinks list with some amazing sounding cocktails. The mussels were large, you could tell they are high quality, and came...More","Peebles, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Our family including kids made a reservation in this place based on great reviews and the bib hiurmand michellin rating, and we were surprised how much better than expected ( we had high expectations already) this was.
Great food, great wine, really nice servers on...More","Miami, Florida","<span class=""ui_bubble_rating bubble_50""></span>",,50
7,We choose for 12 dishes to share with our adult daughters who we treated this evening on a Delicious fish and oster meal!  We should have made a reservation... Wednesday evening and it was full. Though we could sit at the bar! Thanks for the...More,,"<span class=""ui_bubble_rating bubble_40""></span>",,40
8,"Great food in a brilliant building, with terrific ambience. They know fish and how to serve a memorable supper. Was shown around the kitchen, which showed the love the cooks have for food.",,"<span class=""ui_bubble_rating bubble_50""></span>",,50
