,name,location
9,"Husband and I just had dinner here. I had the bbq ribs, which were excellent & I have had ribs in “all the best places” He had something called “wheat Toto” hard to describe but had shrimp, mushrooms, mussels in a creamy sauce. Also yummy!...More",Maui
0,"This is very centrally located. We tried their special lunch offer for 3 small servings plus the bbq ribs sandwich with potatoes. The food was great, service ok, prices in line. Reading material at the throne.","Bucharest, Romania"
1,"Found this restaurant after a tip from a local barman, wow, the food was amazing and the staff were friendly and helpful. My waitress Sandra was brilliant, nothing was too much trouble even though she was really busy, she even made me feel like I...More",
2,"Had a very good meal here.
When we booked we requested a quiet table and the staff went out of their way when we arrived to offer us a choice of tables to satisfy this request.
We had the Barley shellfish risotto and the baked...More","Surrey, United Kingdom"
3,Restaurant Tight is an inviting multi-level restaurant. We were seated on the rail on the upstairs level with a nice view over the street. Our server was very friendly and took great care of us. Somehow our appetizer oder got missed so we went straight...More,"New York City, New York"
4,"Came to Tight based on reviews here and Rick Steves recommendation.  The meal was excellent, particularly the Shellfish Wheatotto. The barley instead of risotto was outstanding, giving the dish a different, but delicious, touch. We also enjoyed the Lobster Soup with the coconut flavouring, the...More",Toronto
5,"A very cozy and nice restaurant with two floors in the middle of the city.
Had the lobster soup, the carpaccio and the Angus... Tasted amazing!

Highly recommended.","Stromstad, Sweden"
6,"Don’t miss this restaurant during your Copenhagen visit. It’s surprisingly bigger than it appears from the street, is casual and comfortable. From the mussels and beef carpaccio to the baked cod and barbecue ribs, every dish was delicious and perfectly prepared! The staff friendly and...More","Chattanooga, Tennessee"
7,"I am currently writing this as I am finishing my meal here. Came for a burger, to my delight, EVERYTHING was made gluten free for me (non-gluten free burger in the back).
Exceptional service. We were walk ins and were seated promptly.
It was a...More",
8,"First time in Copenhagen from Scotland  .. so .. very nice to find a restaurant serving my favourite dishes of mussles to start followed by steak !... in reality Mussles very small but good enough, steak pretty good too and a nice bottle of wine....More","Copenhagen, Denmark"
9,We used the what’s nearby feature on the app and picked Tight due to its good reviews. We stopped for lunch and each ordered the three small plates deal. It was probably our best meal in Copenhagen. All the dishes were traditional Danish and were...More,"Calgary, Canada"
0,What a surprised find of this gem! Food and service are great. We did not make a reservation but was lucky to secure a table for a family of six. Casual setting and Cosy atmosphere really make you feel very welcome. Highly recommended if you...More,
1,Really enjoyed a recent meal with colleagues recently at Tight. I had the beef carpaccio to start and the burger as my main; both were very good.  The burger was quite substantial and wonderfully dressed with a delicious seasoned foccacia bun.  Colleagues tried out the...More,"Madison, Wisconsin"
2,"I was trying to find a spot in the area with a significant amount of five-star reviews (there are a lot of places around where the consensus seems to be ""meh""). This one stood out so I chose it despite the fact the prices were...More","Tel-Aviv, Israel"
3,"Family of 6 for a 21st birthday. We enjoyed the cocktails, wine and food. The atmosphere in the restaurant is great. It felt Danish to us as non-Danes.  Appeared to be mostly locals eating there.","Toronto, Canada"
4,Place is located in the heart of Copenhagen and I would defintely recommend. Staff is super nice and atmsophere is very chill and laid back. Food is delicious!! I had the Mussels and they were super good.,"Woodside, New York"
5,"This place has it all, great food, fab wine, not bad prices and a wonderful atmosphere. However when I visited with my boyfriend there seemed to be a serious lack of staff. The staff who were working were running around trying to keep all of...More","Watford, United Kingdom"
6,"Really nothing bad to say about this place.

Best burger I've ever had. Dessert was at the same level. The service was attentive, warm and caring. 

They even provided an awesome glutenfri alternative to the burger for my girlfriend.

For the price, this place is...More","Copenhagen, Denmark"
7,We were so impressed with Tight! The food was delicious and the service impeccable! I had the Angus steak and my partner had the cod.  The presentation of the dishes was beautiful.  Great wine list. Desserts were impressive too. I appreciated the relaxing atmosphere of...More,"Plantation, Florida"
8,"We came here for dinner - it was our favorite meal in Copenhagen. It’s a short walk from Nyhavn near the center of the city. We ordered the ribs, cod, and mussels appetizer. All the food was delicious! The staff was very nice too.","New York City, New York"
9,"Very good food (both meat and fish), pleasant stuff and atmosphere. Highly recommended, one of the best places we have visited near the center.",
0,"Not sure what the “food Mecca myth” review is all about.  The burger was great and very filling, the wine and beer good, the service excellent and the atmosphere friendly.  Denmark in general, and Copenhagen in particular, is expensive and prices here were what you...More","Sheffield, United Kingdom"
1,"$120 for two mediocre main dishes, two soups, and a tiny serving of fried have-no-idea-what.  A small dish of ice cream.  No alcohol.  One of the entres and the soup tasted the same. This whole idea of Copenhagen as a food mecca is a myth.","New York City, New York"
2,I visited Tight two nights ago and I highly recommend it! The food was incredibly delicious and the service was impeccable! A perfect place to eat in Copenhagen!!,
3,"The cocktail menu did not disappoint!  
Food and service were also impeccable!  The cod was a favourite among our group!","Hamilton, Canada"
4,"The service here is awesome. Our food was amazing. My husband and I each had a cocktail, and they did not disappoint. I would absolutely recommend this place!","Richmond, Virginia"
5,"My partner and I visited on Saturday night for my birthday, having only booked the day before. The restaurant had a great atmosphere, the food was amazing and the service was perfect. Couldn't recommend this place enough.",
6,This was our first meal in Copenhagen after a late flight. The service was very accommodating and the food was great. Very relaxed and perfect for a casual evening. They also have two items on the menu for children at a reduced price which were...More,"Zug, Switzerland"
7,"Myself and my girlfriend just enjoyed a fantastic meal here. My girlfriend is coeliac; menu was labelled clearly and staff were on top of it so no trouble at all.

Burger and lamb were both excellent. Lovely atmosphere and great friendly service. Would definitely visit...More","Worcester, United Kingdom"
8,"By coincidence, we found this restaurant. The restaurant is cozily decorated. The steak was so tender and tastefully but lightly seasoned with salt and pepper. Sauce was great, the price was really decent in this city. My mum ordered Vegetarian Wheatotto, very good!","Moscow, Russia"
9,"Perfect restaurant - intelligent service, fantastic food and great ambience. Best place for dinner in Copenhagen. We will be back!","London, UK"
0,Took my son and his six roommates to dinner recently. Service was friendly and professional. Advice was requested and given with confidence. Everyone enjoyed their meal and the wine paired well with each dish. Would certainly go back.,Georgia
1,My boyfriend and I visited the restaurant due to the great reviews. I ordered the chicken salad which is actually a chicken curry with one salad leaf. Aside from that the chicken curry was made with cream and I am intolerant to dairy so it...More,"London, United Kingdom"
2,"We tried to get a table on Saturday night only to find that it was packed. We made reservations for Sunday night without a problem. 

We loved the atmosphere, which was warm and cozy. We were seated on the second floor, overlooking the first floor...More","Astoria, New York"
3,"Very cozy and excellent food, served with kindness and a big smile. We got the quiet place in the corner at the entrance enjoying the street view","Copenhagen, Denmark"
4,"On our walk from work to hotel, we just chose a restaurant from the TripAdvisor app. The food was good and tasty. Accomplished with the wine of the house it was a delicious beef. It would have been nice if they have served water as...More",Denmark
5,"Initially had expected some Aussie style tri tip cut steak dinner @ Tight, but the owner chef has an incredible flair for delivering a very upscale fine food experience within common Danish sensibilites. As a gluten free option he created, using a scampi, mussel risotto...More",
6,"This is one of the rare occasions where I have not even left the restaurant and I am writing a review.

I came across it whilst walking around Cooenhagen and remembered whilst researching my trip I had read about this restuarant.

A restaurant with a...More","London, United Kingdom"
7,"Let me open this by saying that my previous visits to Tight have been really, really good. Great ribs, lamb, pork roast.  During my most recent visit, we’d struck up a conversation with the guy at the next table who waxed poetic about their burger....More","Copenhagen, Denmark"
8,"Try the mussels, they’re incredible! Simple but effective food, and not overly expensive compared to other restaurants in the area.","Northampton, United Kingdom"
9,Good venue for a lively evening. Reasonably priced.  Staff not particularly friendly and service slow.  Would go back... Just,"Kingston upon Thames, United Kingdom"
0,"This was our first evening meal in Copenhagen, and it didn’t disappoint! (Hoping we didn’t peak too early!). 

The restaurant was busy (always a good sign!) - we had booked in advance, so unsure what walk in would be like - and we sat upstairs...More","Norwich, United Kingdom"
1,We’d booked this for a rainy Sunday night for a late dinner at 9pm. We walked past and it looked nice but was empty downstairs so we nearly didn’t go in. We decided to go in anyway as it was cold and rainy and we...More,England
2,I went for dinner with my friend and I have enjoyed it a lot. The food was delicious and the restaurant is very nice and cozy. I'll go back for sure.,"Lysekil, Sweden"
3,"Restaurant Tight is just the right place for lunch: Staff is aware that many guests are there for a lunch break, and accordingly, food arrive fast and efficiently at the table - but without in any way, looking rushed or prefabricated. Quite the opposite -...More","Utrecht, The Netherlands"
4,"I have visit two times to Tight restaurant. Firstly i eaten angus steak, secondly i start with shell crockett and tight burger. Both of these are delicious. I prefer this place","Istanbul, Turkey"
5,The waiter explained every dish in detail and the wines that were paired to the meal just made it better. I took pictures of all the dishes.  The look and the taste were excellent.,
6,"I would absolutely recommend this cuisine. It has a cozy atmosphere and nice facilities 👌🏻 The food is amazing and also the drinks and wine/beer. I would definitely recommend this place, worth a visit. 

Dinners that are served e.g. pork or duck costs about 179...More","Sardinia, Italy"
7,"Great ! Great co binational of sauces with fish, pork, and duck !
Central of Copenhagen close to Stogret shopping area.",
8,We pre-booked a table using their website after a friend had recommended the restaurant before our trip and we are really glad we did. Its slightly off the main  pedestrian street so we would have been very lucky to have stumbled across it by chance....More,"Chapel-en-le-Frith, United Kingdom"
9,Nice place and good food. However we were a bit unfortunate to get a rotten mussel in the starter. Really disgusting. The restaurant compensated it by not charging for the starter and offered free desserts for both of us. Despite the mussel I would gladly...More,"Ahus, Sweden"
0,"Had a 3 courses dinner in this restaurant and I really appreciated the quality, service and price.
Ps: the Hamburger is great!","Copenhagen, Denmark"
1,"Long time no see. Used to be a quice OK place. Especially the Burger was a signature dish.
This experience was a big disappointment. Very average food, not specially good quality. Could be any junk place nearly.
Disappointing.","Aarhus, Denmark"
2,"The Fish Soup and the Steamed Mussels were fantastic. Very cozy atmosphere, service was incredible. Loved it!!","Los Angeles, California"
3,"Stopped here for lunch on our last day. Great experience. Once inside this is quite a big place especially upstairs, where we sat by the window watching the street go by below. We both chose 3 small dishes for 149dkk. Curried Herring, Fried Plaice with...More","Salisbury, United Kingdom"
4,"Excellent main courses with the great deserts. Best crème brûlée I have ever eaten.

Staff are always friendly, competent, and knowledgeable.

Looking forward to my next visit.","Copenhagen, Denmark"
5,"Me and my girlfriend had a dinner during our trip in Copenhagen. We appreciated a lot the location and staff’s availability.
We taste a very good salmon as starter and tight burgers with potatoes as main dishes. Quality of the food is good.
The Bill...More","Modena, Italy"
6,"Excellent food, we hade duck, moules, tenderloin and a vegetarian dish. Friendly and professional service. We walked out from the restaurant as happy soapbubbles. Can strongly recommend a visit.","Danderyd, Sweden"
7,"Very Nice food, I had lobster soup and fresh fish and really delicious chece cake. The others had shellfish risotto 👍😁😁😁😁","Copenhagen, Denmark"
8,"A nice place, with a warm, cozy feel to it. Excellent food and service. Conveniently located. Will definitely return here next time I am in Copenhagen.","Bucharest, Romania"
9,"Cosy restaurant with a nice combination lunch, 3 small dishes served together on a beautiful plate. 
Very tastefull, good value for money. 
Kind and helpful personal.","Amsterdam, The Netherlands"
0,"Full of locals and very well located.
Great and tasty food, good value for money and very friendly staff.","Santander, Spain"
1,"A colleague and I were in Copenhagen for work.  We came here with local colleagues who suggested this restaurant, and are we ever glad they did.  

My friend and I had a salmon appetizer, the surf and turf entrée, and a layered dessert.  All three...More",Texas
2,"A surprising gem in this city where everything costs an arm and a leg. 

Lobster bisque was a surprising concoction with coconut milk and Thai basil - not at all what I expected but somehow it worked. 

Ribs were deliciously flavoured with hardly any fat...More","Hampshire, United Kingdom"
3,came here for lunch on a whim based on reviews and were blown away! Staff is wonderful and speaks fluent English. Food and drinks were top notch and prices were not inflated. Even our 5 year old enjoyed the kids menu. Highly recommend!,"Winston Salem, North Carolina"
4,"Two couples found this place a bit by accident as it was the highest rated restaurant close to us with available tables this evening. Nice scenery, excellent service and excellent food. 

The four of us had starters mains and dessert, both seafood and meats. All...More","Holmestrand, Norway"
5,We came as a very large group and took over the entire venue. The service was quick and with a smile. Food excellent. There’s a cosy and warm feel about the place. Highly recommend you visit this place.,"London, United Kingdom"
6,"120 of us descended as a block booking, yet they served us excellent food and in and in a n efficient manner. Tak",
7,The atmosphere in this restaurant is wonderful. The food is great and the service is even better. I will definitely come back!,The Hague
8,"The restaurant is located off of the main shopping street. We had foccacia bread burgers and garlic potatoes and it was lovely. we sat upstairs and had the whole floor to ourselves. Nice soft lighting, quiet, cosy and good food. Service very friendly, not too...More","London, United Kingdom"
9,We spent an evening in Copenhagen and were a group of 120 people. The  team at the restaurant were great and everyone was raving about the amazing food. Big group with a number of dietary requirements but everything went like clockwork. I'd recommend whether there's...More,
0,"I've tried the BBQ ribs, and Gateau Marcel for dessert. Absolutely delicious! I will definitely come back",
1,"The place is nice, specially if you dinner by the glass window looking at the street. Food was good and the service very nice. I think it was a bit expensive quality/price (80€ starter, 2 dishes, small dessert, water), but I guess those are Copenhagen...More","Barcelona, Spain"
2,"Absolutely happy that i found this place! Food is amazing and the staff is super friendly and great.
The menu offers many options for gluten free meals and some meals can get prepared vegetarian. Can only recommend the place!","Gothenburg, Sweden"
3,"Delightful, amazing dinner. Great service and delicious dishes. Best mussels EVER!!! To recommend also the baked Hake and the surf’n’turf. No words to describe it. A MUST in Copenhagen",
4,"This is such a lovely restaurant.
I found it by chance.
I had tried other places and although the food was good, the portions were very small.

Here portions are generous and you will be well fed.
 
We had lobster bisque, croquettes, mains veal roast...More",Ireland
5,"Greaaaaaaaaaaat! 
Delicious burgers and friendly atmosphere 
The quality is very good and the price is moderate for Copenhagen","Bilbao, Spain"
6,"Very nice place in the heart of the town, nice and cosy atmosphere . Good food and price good for quality.","Rome, Italy"
7,I had the most delicious gluten free burger and some New Zealand wine.  The restaurant has a lovely atmosphere and our Irish waitress (sorry forgot your name) was tremendous.  I would highly recommend.,"St. John's, Canada"
8,"Went purely on the reviews on TA and we were not disappointed . We were a group of 7 who on a Saturday night were well treated , served marvelously and treated to food which we collectively all agreed was the best we had had...More","London, United Kingdom"
9,Went here for dinner with a bunch of girlfriends for our first night in Copenhagen. We loved it!  Drinks were great and food was even better!  The atmosphere was perfect for a start to our girls trip!   Would definitely go back!  I recommend making a...More,"Long Island, New York"
0,"I have been here few times before and it has been always really good place! I really love this restaurant!
It’s just 100m away from the main walking road Ströget.
Food is excellent! And the service is also very friendly so there is nothing to...More",Espoo
1,"Tourist Trap for sure, so if you are looking for something easy and convenient, the food and service was good. But if you are looking for traditional Danish food, outstanding service and a real foreign treat, this is NOT the place. We ended up paying...More","Nampa, Idaho"
2,"I went to this “tight” but confortable restaurant at the end of a business trip in CPH. I only had the “tight burger” and a beer due to lack of time. What a shame, I would have loved trying other dishes.
Good points:
-slightly away...More","Lonay, Switzerland"
3,"We stopped by Tight mainly by chance and were seduced by the place, the welcoming people and the quality of the food. In Tight you can have a plate mixing 3 small meals out of 9. A very convenient way of discovering the talent of...More","Paris, France"
4,This was my husbands’ and my one night out sans kids in Copenhagen and we wanted to have a really nice meal..we are from Toronto where there are some world class restaurants so maybe we are spoiled (although I know CPH is a known for...More,
5,"Take a minute to turn off the pedestrian path for an outstanding gourmet meal!  Perfect portions, local fare, local drinks and great atmosphere!",
6,Wonderfully flavourable menu for lunch and dinner. Fantastic breads. Fresh draft beers. Great venue and environment,"Guelph, Canada"
7,"Best meal we had in Copenhagen! Everyone left super happy. Are you a foodie who likes a quality food experience? This is your spot. The restaurant is quaint in an upscale way. The service was good, they also have kids plates. (Same but smaller portions)...More",
8,"This doesn't look like the fanciest place, but we really enjoyed our dinner here. For entrees, we tried the shellfish wheat risotto, and the baked hake. Both were delicious, although I thought the risotto was a little better. They also have a nice choice of...More","Somers, New York"
9,"Firstly we waited 23 minutes to order with the waiter (sorry for the minutes but at the point I was only looking a the clock), then we waited 17 minutes more for our glass of wine. After 1hour and 45 minutes, we had only had...More","Copenhagen, Denmark"
0,"Great place! Love the atmosphere, been a fixed menu each time due to new years but menu was perfect.","Copenhagen, Denmark"
1,Me and my boyfriend visited Restaurant Tight on our vacation in Copenhagen. The staff was very friendly and the food were amazing. I had the seafood risotto and the chocolate fondant as a dessert. I highly recommend this place!,"Stockholm, Sweden"
2,"This was recommended by a friend and we were happy we went. The restaurant feels casual and cute, but the service is amazing. The food is affordable (especially for Copenhagen) and delicious. My burger was one of the best I've ever had and my husband...More","Ithaca, New York"
3,Mussels in cream/ butter/garlic/herb reduction is a dish I won’t forget. New owner has fresh organic ingredients and innovative dishes both outdoor patio and spacious indoors.,southern california
4,"Searching the streets for a nice lunch, I stumbled upon this restaurant. I was welcomed by a friendly waiter who offered me a table by the window. A very obliging waitress then took my order. She was friendly and up for conversation, which I really...More","Copenhagen, Denmark"
5,Have been here a couple of times and would recommend. The restaurant has a nice laid-back atmosphere but with attentive and high standard of service. The food is also very good (would recommend the mac and cheese spring roll starter). It was all very fresh...More,"Copenhagen, Denmark"
6,"This place has a lovely ambient vibe, relaxed and comfortable to. However the most important part of this restaurant is their gluten free menu. Knowledgeable staff also make this a great place to go. Worth a visit!",Essex
7,"A comfortable and rustic environment combines with great food and friendly service. We enjoyed our visit to the restaurant, and would recommend it to others. We had the burgers and the 3-dish lunch menu (shrimp, fois gras and marinated beef options) and the tastes were...More","Copenhagen, Denmark"
8,"This place is amazing. The food is so good and the people were incredible. I started with the Foie Gras - which was super flavorful, then the Roast Veal - super yum, tender and was accompanied by a delicious sauce and then I finished my...More","Denver, Colorado"
9,The restaurant offers seating downstairs and upstairs. We decided to sit in the lower floor directly in the open window. The food was great and the service excellent. Will certainly come back.,"Davos, Switzerland"
0,"My husband and I enjoyed a delicious dinner at Tight. We were there on a weeknight and although we made a reservation, from the look at the place when we arrived, we didn’t need one.  I think weekends, it packs out.   The service was helpful...More","Boston, Massachusetts"
1,"Friday 13.7.18 we went to restaurant Tight in Copenhagen - highly recommendable and we will definitely come back. Very tasty food, nice portions, very friendly staff, especially the girl from Ireland.","Kongens Lyngby, Denmark"
2,"A hidden gem right in the centre of Copenhagen, food is great and atmosphere 'hyggelig'. We will definately come back",
3,"We went on a mid week evening, it was quiet and easy to get a table. Food was well prepared, my husband was very pleased with the roast veal - very tender. Good value for menu for Copenhagen, not the typical tourist fare and all...More","Reigate, United Kingdom"
4,"The restaurant is located at a small alley at the back of the Lego store. We visited on a weekday evening and it was quiet. The food was good, especially the rib. The mussels were also good though the sauce was a bit salty.","Hong Kong, China"
5,Not overly expensive compared to other Copenhagen restaurants and the burger was very tasty with a well made beef patty and juicy rosemary seasoned bread. Servers were very nice also. I would definitely come back!,"Sollentuna, Sweden"
6,"Everything was great at this unique and cosy restaurant; the food was excellent and the atmosphere relaxed and very friendly. I have been there with friends and with family, both times we had a great evening!!!","Copenhagen, Denmark"
7,"Good restaurant in old,  building broken into small, pleasant rooms.  Seems popular with locals and business travelers.  We had wonderful hamburgers.  Reasonable prices.More",New Jersey
8,Middle of the summer and we didn't need a reservation. The service was excellent and the food was too. I asked for a slight change to my meal and this was no problem. Smoking in restaurants is allowed so we were glad to get a...More,"Rabat, Morocco"
9,We were there for our team building dinner. We ordered 3 corse menu. All in all a very good dinning experience. I like the desert very much.,"Middelfart, Denmark"
0,"Maybe I expected too much as the restaurant was hyped, it's rather small and darkish and the food as well as the staff was good but really not above-average.",Switzerland
1,The lunch menu consisted of about 10 small dishes and you can pick three according to your taste. I had two fish dishes and a shrimp one. The fish dishes were excellent and the shrimp was good. Great rye bread was served as well! Also...More,"Espoo, Finland"
2,"I went here with my sister just this week. We both ordered the mussels as starters, which was good. I ordered the shellfish risotto as a main, which was okay. My sister had the fish, cant't quite rembember which dish it was, but she was...More",Norway
3,I had the burger with potatoes. The potatoes were really good and a burger was good. It came on focaccia which was a bit over toasted. My husband had the beef carpaccio for a appetizer which he said was interesting and the veal which he...More,"Akershus, Norway"
4,"My kid was able to get a burger and I had seafood served in an inventive manner.  Though they have a kids menu version of a burger, he ordered the regular ""adult"" one.  It was big and juicy.  He said the flavor was good.  He...More","Birmingham, Michigan"
5,"Good service!  We had surf and turf and mussels.  Mussels were very small but excellent taste and a cream broth. Wine was nice, and surf and turf was pretty good.  I would go back, and recommend if you don’t have a problem with noise.  There...More","Pensacola, Florida"
6,My son got the three course meal which began with Macaroni and Cheese Eggrolls with a chili dipping sauce. They were really good. I had parpadelle pasta with tiger prawns. The prawns were very fresh and perfectly cooked. My sons girlfriend got the fried cod...More,"Lexington, Kentucky"
7,"This was the dish to cement my ardor... with a charming atmosphere, friendly service, and we feel we should return for the mac and cheese spring roll... it looked amazing.","Adelaide, Australia"
8,"My husband and I had a fantastic dinner here! Great selection and the daily 3 course special is definitely worth it! Our server wasn’t the greatest and the disappeared, but a lovely woman was so helpful, jumped right in, and made sure we were taken...More","Tega Cay, South Carolina"
9,"Friendly place with good food and not to pricy. Fast and nice service. 

Got the Burger,  and mac & cheese. Two winners.","Uppsala, Sweden"
0,I had a wonderful experience at Tight a few nights ago. The service and the food were divine. We had the macaroni and cheese spring roll and sticky shrimp appetizers- yum - and as mains I had the pasta which was so tasty! My parents...More,
1,Discovered this nice place near our accommodation in Hyskenstraede. Charming area. The staff were so friendly and accommodating and the food was very satisfying. Hygge sums up this place.,"Dundee, United Kingdom"
2,"Lovely place in the heart of Copenaghen with really great food (we've tasted 3 type of meat, kangaroo, crocodile and pork, all amazing) and very kind service.
I would reccomend to everyone who visit the city to take a lunch/dinner at Tight! you will never...More","Mantua, Italy"
3,"Food: Not a very extensive main courses menu, but 6 or 7 options. Pasta, ribs, hamburger, steak, fish.
Ambiance: Very good
Service: very good 
Drinks: very good (beers and cocktails)
Location: very good
Price: Good 
Value:  Very good","Monterrey, Mexico"
4,"I visited 'Tight' last night 20.05.18 with my day who is a coeliac. The staff spoke very good english and they were very aware of the gluten free options on the menu(which were many. We both got the special, which had 3 courses and was...More","Toronto, Canada"
5,"Tight serves with a doubt the best burger in town - it may be squared, but it is amazing. Also, their surf and turf and the Canadian treat for desert work wonders. Taking price into account I can only rate ""value"" at ""amazing"". 

The atmosphere...More","Valby, Denmark"
6,We visited based on reviews and recommendation from hotel staff. We all got the burgers. They were excellent. They accommodated my food intolerances without any problems.  Service was very good.  Gluten free bread available.,"Westminster, Maryland"
7,...Owing to a complete lack of pretension. It’s very down to earth and fuss free. Which is good. The food is excellent. I didn’t bother with all the Aussie themed stuff so no idea what the kangaroo burger or the crocodile tastes like. Don’t feel...More,"London, United Kingdom"
8,"Our hotel recommended this restaurant and revues said it was moderately priced.  It was $62 for two without drinks, only water, pasta dishes, one with prawns one without, one side salad.  I heard Copenhagen was expensive and it is.  Luckily the dinner was delicious and...More","Chapin, South Carolina"
9,"Ate here whilst a few of us were in Copenhagen on a conference and it was worth a trip into two from our conference venue. 

Did not really get the Australian restaurant references until the menu of kangaroo and crocodile and I accept it's unique....More","Iver, United Kingdom"
0,"I have celiac disease so this was a great find for me! Many of the items can be made gluten free and it’s clearly marked on the menu. My server, Gry, was very adamant with the chef to get my order correct and it made...More","Napa, California"
1,"hey :) 

Been to this place I dont know how many times. The reason is because it never fails in: food, service & price. This is my go to place when I have people visiting or a special occasion as it is always on point....More",
2,"A group of 15 had a great dinner at Tight! We all went for the 5 course tasting menu + wine menu. It was a real treat - so tasty and different; crocodille dumplings and kenguru for main..
The atmosphere is great - wether you...More","Northern Norway, Norway"
3,"Nice experience at Tight, the atmosphere was great as it was busy.
I loved the surf & turf with the beef flank as an option. 
Slightly disappointed with the meringue as it should be less dry in our opinion.",
4,We visited Cafe Tight during our holidays in Copenhangen. The place is very nice and really cozy! We really liked the food and I would recommend it to everyoned who visits Copenhagen! The service was also excellent! A value for money place to be! I...More,
5,Amazing food! I got the mac and cheese sprin rolls as a starter and a burger which was perfectly cooked. Easily the best I tried in Copenhagen! All this great food is served by the very friendly and welcoming staf in a relaxed and warm...More,
6,"We went here based on trip advisor review and it didn’t disappoint. 

The service was nice and the atmosphere was also lovely, clearly they get a lot of brutish and American people dine here. 

Starter if veggie mac and cheese spring roll (veggie) was really...More","Ely, United Kingdom"
7,We had a burger and a Tight Salad. Tight salad was “loose” at best...No flavor.  Burger was unexceptional.  Service was also a disappointment.   Better luck next time.,"Lexington, Massachusetts"
8,"Went there and had their five course tasting menu. The waitress is nice and hardworking, responding fast and clearly described all dishes. Food quality is above average, with some interesting food-wine pairing. Reasonable price too. The restaurant is close to Stornget and I would recommend...More","Hong Kong, China"
9,Great restaurant with lovely decor and good food. There were plenty of gluten free options clearly marked on the menu which for me as a coeliac is great! The potato cakes are delicious and I really recommend the chocolate fondant. Being able to have such...More,
0,"My wife and I went to dinner here and found it hit and miss. For starters, my wife had the mac & cheese spring roll which was great. I had the crocodile dumpling soup which was way too salty and wrecked it. For mains, I...More",
1,"It had a very warming atmosphere, the food was delicious, the staff were helpful! It is well worth a visit whilst you are in Copenhagen",
