,name,location,bubble,dollars,rating,country,tourism
47,This was our first meal in Copenhagen after a late flight. The service was very accommodating and the food was great. Very relaxed and perfect for a casual evening. They also have two items on the menu for children at a reduced price which were...More,"Zug, Switzerland","<span class=""ui_bubble_rating bubble_40""></span>",,40, Switzerland,Tourist
48,"Myself and my girlfriend just enjoyed a fantastic meal here. My girlfriend is coeliac; menu was labelled clearly and staff were on top of it so no trouble at all.

Burger and lamb were both excellent. Lovely atmosphere and great friendly service. Would definitely visit...More","Worcester, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
49,"By coincidence, we found this restaurant. The restaurant is cozily decorated. The steak was so tender and tastefully but lightly seasoned with salt and pepper. Sauce was great, the price was really decent in this city. My mum ordered Vegetarian Wheatotto, very good!","Moscow, Russia","<span class=""ui_bubble_rating bubble_50""></span>",,50, Russia,Tourist
50,"Perfect restaurant - intelligent service, fantastic food and great ambience. Best place for dinner in Copenhagen. We will be back!","London, UK","<span class=""ui_bubble_rating bubble_50""></span>",,50, UK,Tourist
51,Took my son and his six roommates to dinner recently. Service was friendly and professional. Advice was requested and given with confidence. Everyone enjoyed their meal and the wine paired well with each dish. Would certainly go back.,Georgia,"<span class=""ui_bubble_rating bubble_40""></span>",,40,Georgia,Tourist
52,My boyfriend and I visited the restaurant due to the great reviews. I ordered the chicken salad which is actually a chicken curry with one salad leaf. Aside from that the chicken curry was made with cream and I am intolerant to dairy so it...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_10""></span>",,10, United Kingdom,Tourist
53,"We tried to get a table on Saturday night only to find that it was packed. We made reservations for Sunday night without a problem. 

We loved the atmosphere, which was warm and cozy. We were seated on the second floor, overlooking the first floor...More","Astoria, New York","<span class=""ui_bubble_rating bubble_40""></span>",,40, New York,Tourist
55,"On our walk from work to hotel, we just chose a restaurant from the TripAdvisor app. The food was good and tasty. Accomplished with the wine of the house it was a delicious beef. It would have been nice if they have served water as...More",Denmark,"<span class=""ui_bubble_rating bubble_30""></span>",,30,Denmark,Tourist
56,"Initially had expected some Aussie style tri tip cut steak dinner @ Tight, but the owner chef has an incredible flair for delivering a very upscale fine food experience within common Danish sensibilites. As a gluten free option he created, using a scampi, mussel risotto...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
57,"This is one of the rare occasions where I have not even left the restaurant and I am writing a review.

I came across it whilst walking around Cooenhagen and remembered whilst researching my trip I had read about this restuarant.

A restaurant with a...More","London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
59,"Try the mussels, they’re incredible! Simple but effective food, and not overly expensive compared to other restaurants in the area.","Northampton, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
60,Good venue for a lively evening. Reasonably priced.  Staff not particularly friendly and service slow.  Would go back... Just,"Kingston upon Thames, United Kingdom","<span class=""ui_bubble_rating bubble_30""></span>",,30, United Kingdom,Tourist
61,"This was our first evening meal in Copenhagen, and it didn’t disappoint! (Hoping we didn’t peak too early!). 

The restaurant was busy (always a good sign!) - we had booked in advance, so unsure what walk in would be like - and we sat upstairs...More","Norwich, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
62,We’d booked this for a rainy Sunday night for a late dinner at 9pm. We walked past and it looked nice but was empty downstairs so we nearly didn’t go in. We decided to go in anyway as it was cold and rainy and we...More,England,"<span class=""ui_bubble_rating bubble_50""></span>",,50,England,Tourist
63,I went for dinner with my friend and I have enjoyed it a lot. The food was delicious and the restaurant is very nice and cozy. I'll go back for sure.,"Lysekil, Sweden","<span class=""ui_bubble_rating bubble_50""></span>",,50, Sweden,Tourist
64,"Restaurant Tight is just the right place for lunch: Staff is aware that many guests are there for a lunch break, and accordingly, food arrive fast and efficiently at the table - but without in any way, looking rushed or prefabricated. Quite the opposite -...More","Utrecht, The Netherlands","<span class=""ui_bubble_rating bubble_40""></span>",,40, The Netherlands,Tourist
65,"I have visit two times to Tight restaurant. Firstly i eaten angus steak, secondly i start with shell crockett and tight burger. Both of these are delicious. I prefer this place","Istanbul, Turkey","<span class=""ui_bubble_rating bubble_50""></span>",,50, Turkey,Tourist
66,The waiter explained every dish in detail and the wines that were paired to the meal just made it better. I took pictures of all the dishes.  The look and the taste were excellent.,,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
67,"I would absolutely recommend this cuisine. It has a cozy atmosphere and nice facilities 👌🏻 The food is amazing and also the drinks and wine/beer. I would definitely recommend this place, worth a visit. 

Dinners that are served e.g. pork or duck costs about 179...More","Sardinia, Italy","<span class=""ui_bubble_rating bubble_50""></span>",,50, Italy,Tourist
68,"Great ! Great co binational of sauces with fish, pork, and duck !
Central of Copenhagen close to Stogret shopping area.",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
69,We pre-booked a table using their website after a friend had recommended the restaurant before our trip and we are really glad we did. Its slightly off the main  pedestrian street so we would have been very lucky to have stumbled across it by chance....More,"Chapel-en-le-Frith, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40, United Kingdom,Tourist
70,Nice place and good food. However we were a bit unfortunate to get a rotten mussel in the starter. Really disgusting. The restaurant compensated it by not charging for the starter and offered free desserts for both of us. Despite the mussel I would gladly...More,"Ahus, Sweden","<span class=""ui_bubble_rating bubble_40""></span>",,40, Sweden,Tourist
73,"The Fish Soup and the Steamed Mussels were fantastic. Very cozy atmosphere, service was incredible. Loved it!!","Los Angeles, California","<span class=""ui_bubble_rating bubble_50""></span>",,50, California,Tourist
74,"Stopped here for lunch on our last day. Great experience. Once inside this is quite a big place especially upstairs, where we sat by the window watching the street go by below. We both chose 3 small dishes for 149dkk. Curried Herring, Fried Plaice with...More","Salisbury, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
76,"Me and my girlfriend had a dinner during our trip in Copenhagen. We appreciated a lot the location and staff’s availability.
We taste a very good salmon as starter and tight burgers with potatoes as main dishes. Quality of the food is good.
The Bill...More","Modena, Italy","<span class=""ui_bubble_rating bubble_40""></span>",,40, Italy,Tourist
77,"Excellent food, we hade duck, moules, tenderloin and a vegetarian dish. Friendly and professional service. We walked out from the restaurant as happy soapbubbles. Can strongly recommend a visit.","Danderyd, Sweden","<span class=""ui_bubble_rating bubble_50""></span>",,50, Sweden,Tourist
79,"A nice place, with a warm, cozy feel to it. Excellent food and service. Conveniently located. Will definitely return here next time I am in Copenhagen.","Bucharest, Romania","<span class=""ui_bubble_rating bubble_50""></span>",,50, Romania,Tourist
80,"Cosy restaurant with a nice combination lunch, 3 small dishes served together on a beautiful plate. 
Very tastefull, good value for money. 
Kind and helpful personal.","Amsterdam, The Netherlands","<span class=""ui_bubble_rating bubble_50""></span>",,50, The Netherlands,Tourist
81,"Full of locals and very well located.
Great and tasty food, good value for money and very friendly staff.","Santander, Spain","<span class=""ui_bubble_rating bubble_50""></span>",,50, Spain,Tourist
82,"A colleague and I were in Copenhagen for work.  We came here with local colleagues who suggested this restaurant, and are we ever glad they did.  

My friend and I had a salmon appetizer, the surf and turf entrée, and a layered dessert.  All three...More",Texas,"<span class=""ui_bubble_rating bubble_50""></span>",,50,Texas,Tourist
83,"A surprising gem in this city where everything costs an arm and a leg. 

Lobster bisque was a surprising concoction with coconut milk and Thai basil - not at all what I expected but somehow it worked. 

Ribs were deliciously flavoured with hardly any fat...More","Hampshire, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
84,came here for lunch on a whim based on reviews and were blown away! Staff is wonderful and speaks fluent English. Food and drinks were top notch and prices were not inflated. Even our 5 year old enjoyed the kids menu. Highly recommend!,"Winston Salem, North Carolina","<span class=""ui_bubble_rating bubble_50""></span>",,50, North Carolina,Tourist
85,"Two couples found this place a bit by accident as it was the highest rated restaurant close to us with available tables this evening. Nice scenery, excellent service and excellent food. 

The four of us had starters mains and dessert, both seafood and meats. All...More","Holmestrand, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50, Norway,Tourist
86,We came as a very large group and took over the entire venue. The service was quick and with a smile. Food excellent. There’s a cosy and warm feel about the place. Highly recommend you visit this place.,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
87,"120 of us descended as a block booking, yet they served us excellent food and in and in a n efficient manner. Tak",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
88,The atmosphere in this restaurant is wonderful. The food is great and the service is even better. I will definitely come back!,The Hague,"<span class=""ui_bubble_rating bubble_50""></span>",,50,The Hague,Tourist
89,"The restaurant is located off of the main shopping street. We had foccacia bread burgers and garlic potatoes and it was lovely. we sat upstairs and had the whole floor to ourselves. Nice soft lighting, quiet, cosy and good food. Service very friendly, not too...More","London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
90,We spent an evening in Copenhagen and were a group of 120 people. The  team at the restaurant were great and everyone was raving about the amazing food. Big group with a number of dietary requirements but everything went like clockwork. I'd recommend whether there's...More,,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
91,"I've tried the BBQ ribs, and Gateau Marcel for dessert. Absolutely delicious! I will definitely come back",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
92,"The place is nice, specially if you dinner by the glass window looking at the street. Food was good and the service very nice. I think it was a bit expensive quality/price (80€ starter, 2 dishes, small dessert, water), but I guess those are Copenhagen...More","Barcelona, Spain","<span class=""ui_bubble_rating bubble_40""></span>",,40, Spain,Tourist
93,"Absolutely happy that i found this place! Food is amazing and the staff is super friendly and great.
The menu offers many options for gluten free meals and some meals can get prepared vegetarian. Can only recommend the place!","Gothenburg, Sweden","<span class=""ui_bubble_rating bubble_50""></span>",,50, Sweden,Tourist
94,"Delightful, amazing dinner. Great service and delicious dishes. Best mussels EVER!!! To recommend also the baked Hake and the surf’n’turf. No words to describe it. A MUST in Copenhagen",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
95,"This is such a lovely restaurant.
I found it by chance.
I had tried other places and although the food was good, the portions were very small.

Here portions are generous and you will be well fed.
 
We had lobster bisque, croquettes, mains veal roast...More",Ireland,"<span class=""ui_bubble_rating bubble_50""></span>",,50,Ireland,Tourist
96,"Greaaaaaaaaaaat! 
Delicious burgers and friendly atmosphere 
The quality is very good and the price is moderate for Copenhagen","Bilbao, Spain","<span class=""ui_bubble_rating bubble_50""></span>",,50, Spain,Tourist
97,"Very nice place in the heart of the town, nice and cosy atmosphere . Good food and price good for quality.","Rome, Italy","<span class=""ui_bubble_rating bubble_40""></span>",,40, Italy,Tourist
98,I had the most delicious gluten free burger and some New Zealand wine.  The restaurant has a lovely atmosphere and our Irish waitress (sorry forgot your name) was tremendous.  I would highly recommend.,"St. John's, Canada","<span class=""ui_bubble_rating bubble_40""></span>",,40, Canada,Tourist
99,"Went purely on the reviews on TA and we were not disappointed . We were a group of 7 who on a Saturday night were well treated , served marvelously and treated to food which we collectively all agreed was the best we had had...More","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40, United Kingdom,Tourist
100,Went here for dinner with a bunch of girlfriends for our first night in Copenhagen. We loved it!  Drinks were great and food was even better!  The atmosphere was perfect for a start to our girls trip!   Would definitely go back!  I recommend making a...More,"Long Island, New York","<span class=""ui_bubble_rating bubble_50""></span>",,50, New York,Tourist
101,"I have been here few times before and it has been always really good place! I really love this restaurant!
It’s just 100m away from the main walking road Ströget.
Food is excellent! And the service is also very friendly so there is nothing to...More",Espoo,"<span class=""ui_bubble_rating bubble_50""></span>",,50,Espoo,Tourist
102,"Tourist Trap for sure, so if you are looking for something easy and convenient, the food and service was good. But if you are looking for traditional Danish food, outstanding service and a real foreign treat, this is NOT the place. We ended up paying...More","Nampa, Idaho","<span class=""ui_bubble_rating bubble_30""></span>",,30, Idaho,Tourist
103,"I went to this “tight” but confortable restaurant at the end of a business trip in CPH. I only had the “tight burger” and a beer due to lack of time. What a shame, I would have loved trying other dishes.
Good points:
-slightly away...More","Lonay, Switzerland","<span class=""ui_bubble_rating bubble_50""></span>",,50, Switzerland,Tourist
104,"We stopped by Tight mainly by chance and were seduced by the place, the welcoming people and the quality of the food. In Tight you can have a plate mixing 3 small meals out of 9. A very convenient way of discovering the talent of...More","Paris, France","<span class=""ui_bubble_rating bubble_50""></span>",,50, France,Tourist
105,This was my husbands’ and my one night out sans kids in Copenhagen and we wanted to have a really nice meal..we are from Toronto where there are some world class restaurants so maybe we are spoiled (although I know CPH is a known for...More,,"<span class=""ui_bubble_rating bubble_30""></span>",,30,,Tourist
106,"Take a minute to turn off the pedestrian path for an outstanding gourmet meal!  Perfect portions, local fare, local drinks and great atmosphere!",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
107,Wonderfully flavourable menu for lunch and dinner. Fantastic breads. Fresh draft beers. Great venue and environment,"Guelph, Canada","<span class=""ui_bubble_rating bubble_50""></span>",,50, Canada,Tourist
108,"Best meal we had in Copenhagen! Everyone left super happy. Are you a foodie who likes a quality food experience? This is your spot. The restaurant is quaint in an upscale way. The service was good, they also have kids plates. (Same but smaller portions)...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
109,"This doesn't look like the fanciest place, but we really enjoyed our dinner here. For entrees, we tried the shellfish wheat risotto, and the baked hake. Both were delicious, although I thought the risotto was a little better. They also have a nice choice of...More","Somers, New York","<span class=""ui_bubble_rating bubble_40""></span>",,40, New York,Tourist
112,Me and my boyfriend visited Restaurant Tight on our vacation in Copenhagen. The staff was very friendly and the food were amazing. I had the seafood risotto and the chocolate fondant as a dessert. I highly recommend this place!,"Stockholm, Sweden","<span class=""ui_bubble_rating bubble_50""></span>",,50, Sweden,Tourist
113,"This was recommended by a friend and we were happy we went. The restaurant feels casual and cute, but the service is amazing. The food is affordable (especially for Copenhagen) and delicious. My burger was one of the best I've ever had and my husband...More","Ithaca, New York","<span class=""ui_bubble_rating bubble_50""></span>",,50, New York,Tourist
114,Mussels in cream/ butter/garlic/herb reduction is a dish I won’t forget. New owner has fresh organic ingredients and innovative dishes both outdoor patio and spacious indoors.,southern california,"<span class=""ui_bubble_rating bubble_50""></span>",,50,southern california,Tourist
117,"This place has a lovely ambient vibe, relaxed and comfortable to. However the most important part of this restaurant is their gluten free menu. Knowledgeable staff also make this a great place to go. Worth a visit!",Essex,"<span class=""ui_bubble_rating bubble_40""></span>",,40,Essex,Tourist
119,"This place is amazing. The food is so good and the people were incredible. I started with the Foie Gras - which was super flavorful, then the Roast Veal - super yum, tender and was accompanied by a delicious sauce and then I finished my...More","Denver, Colorado","<span class=""ui_bubble_rating bubble_50""></span>",,50, Colorado,Tourist
120,The restaurant offers seating downstairs and upstairs. We decided to sit in the lower floor directly in the open window. The food was great and the service excellent. Will certainly come back.,"Davos, Switzerland","<span class=""ui_bubble_rating bubble_50""></span>",,50, Switzerland,Tourist
121,"My husband and I enjoyed a delicious dinner at Tight. We were there on a weeknight and although we made a reservation, from the look at the place when we arrived, we didn’t need one.  I think weekends, it packs out.   The service was helpful...More","Boston, Massachusetts","<span class=""ui_bubble_rating bubble_50""></span>",,50, Massachusetts,Tourist
123,"A hidden gem right in the centre of Copenhagen, food is great and atmosphere 'hyggelig'. We will definately come back",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
124,"We went on a mid week evening, it was quiet and easy to get a table. Food was well prepared, my husband was very pleased with the roast veal - very tender. Good value for menu for Copenhagen, not the typical tourist fare and all...More","Reigate, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
125,"The restaurant is located at a small alley at the back of the Lego store. We visited on a weekday evening and it was quiet. The food was good, especially the rib. The mussels were also good though the sauce was a bit salty.","Hong Kong, China","<span class=""ui_bubble_rating bubble_50""></span>",,50, China,Tourist
126,Not overly expensive compared to other Copenhagen restaurants and the burger was very tasty with a well made beef patty and juicy rosemary seasoned bread. Servers were very nice also. I would definitely come back!,"Sollentuna, Sweden","<span class=""ui_bubble_rating bubble_50""></span>",,50, Sweden,Tourist
128,"Good restaurant in old,  building broken into small, pleasant rooms.  Seems popular with locals and business travelers.  We had wonderful hamburgers.  Reasonable prices.More",New Jersey,"<span class=""ui_bubble_rating bubble_40""></span>",,40,New Jersey,Tourist
129,Middle of the summer and we didn't need a reservation. The service was excellent and the food was too. I asked for a slight change to my meal and this was no problem. Smoking in restaurants is allowed so we were glad to get a...More,"Rabat, Morocco","<span class=""ui_bubble_rating bubble_40""></span>",,40, Morocco,Tourist
