,name,location,bubble,dollars,rating,country,tourism
185,"I guess my expectations were a bit to high. Had a reservation, were seated really close to the tables next to us. Service was good but the burger bun was cold and potatoes over cooked.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
186,I’ve been here with serval business connections. The food is good and the atmosphere is great. I’ll definitely continue coming here!,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
187,"The restaurant is located in and old house and is larger than it seems from outside. The menu is relatively short and so is wine list. The food is nice, some popular dishes, some australian. Nice wine ( we took a bottle of french sparkling...More","Gentofte Municipality, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
192,"The surprisingly large restaurant is broken down into three cozy, comfortable spaces and noise levels are low enough to hold a conversation without shouting. Despite the large size, advance booking is essential, at least at dinner. 

The menu is a welcome break from the majority...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
211,"I had the surf and turf, and everything on the plate was excellent. The staff are very friendly, and the atmosphere is great. Highly recommended!","Aarhus, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
225,"I had read great reviews, their burger in particular which I did not get. I enjoyed the atmosphere and it appeared to be a popular place. However, I found the food I ordered quite average. The Salmon as a starter was not of the finest...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_20""></span>",,20, Denmark,Local
228,Great atmosphere. Lovely decor. Average food. Ok service. In my opinion Quite expensive for what it is.,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
255,"Have returned to Tight several times now and it has never failed to deliver: great service, great food, very cosy atmosphere. Don't miss out on the mussels and the burger. Definitely coming back to try the lunch options as well!","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
257,On our tour to the best reviewed burger joints in Copenhagen we got around to Tight.  The interior is very classy.  The service was average.  The burgers were over-designed.,"Koege, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
267,"As my head title says, the food was good, and nice cosy surroundings, i was there with a good friend, and had a great time, nice waiters, but the food took a really long time to get to us, so we ended up being there...More","Frederiksberg, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
270,Tried this out with family and it's good. The place looks lovely with old-world charm and the food also scrubs up well. I had the Jerusalem artichokes soup followed by the ribs and both were v good. Portions are sizeable so bear that in mind....More,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
276,"Tigth was one of my first burger loves. But do to moving i haven't been there in a very long time. But by chance a a few hours to burn and was just near by to give them a try again. 
And boy I was...More","Frederiksberg, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
282,We had bought a voucher on Sweetdeal for this meal so it was extremely good value. The food was really delicious with generous portions and the service was very good. Will definitely return!,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
308,"Great atmosphere, my fiance loved the surf and turf, great Oreo cheese cake! My only complaints are that the wait staff seemed really rushed/stressed and my mac and cheese spring rolls were greasy and not that cheesy.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
317,"I dine at Tight fairly often. The food is always delicious, Ive tried pretty much everything. The cocktails are good. The service is nice and friendly. The place is warm and well decorated, "" different spaces. Always a pleasure to be there.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
325,"We went here for a private function for a brunch.
Everything was delicious.
The food was fresh, tasty, well presented and enough of it!
Am now wanting to book in for an evening meal (but they are always booked up) :)","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
327,"We had a three-course menu with soup, fish and dessert. The mushroom soup was spiced too much with pepper. The salmon was OK and the vegetables very good. The Canadian dessert was ordinary. We shared a bottle of the Louis Jadot Pinot Noir and it...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
341,"Always a nice meal at Tight - great atmosphere, amazing location. Western (Canadian/Australian) food with a bit of Nordic flair. Good service. Relatively good prices for this city. Always one (but only one) vegetarian option. Fun mini dessert options.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
352,"Had a fantastic experience at Tight, amazing nordic food, place is very young and waiters speak english.","Vallensbaek Strand, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
369,"The food were great and very tasty. The value was very accpetional. All the service girls team were very friendly and always having a smile on their faces. We enjoyed to see that. They welcomed us, and we felt relaxing. I loved the way they...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
373,"Really good service, and food in great quality I personally highly recommended to try Tight, try the surf and turf if your up for a proper Aussie meal

Great staff and nice atmosphere","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
376,"This was my second visit to Tight. Had the burger which was above average. The potatoes though were almost tasteless. They charge 55 kr. for a 330 ml. draft pilsner. That's just ridiculous. 

Was very impressed the first time I visited but not so much...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
386,"We had the most wonderful experience having this restaurant on sole use. The service impeccable, and the food delicious. Would highly recommend Tight to everyone. 
Thank you for making our night so special.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
403,"We went in when they opened and asked for a table for 3 later on in the evening, they only had place downstairs which was fine. The service is really good but they seemed a bit understaffed as people started pouring in. It was a...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
413,"Small rooms, the seating is indeed tight :) But very cozy and an interesting room. Menu is simple - classics but with a twist. Like their pork chops or their humongous burger. Tasty and reasonably priced - a great alternative to all the non-descript cafes...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
415,"The food and service was excellent.
The restaurant seems popular and friendly atmosphere. Overall good food and service in line with a nice evening.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
471,"Enjoyed a dinner with friends - nice atmosphere - kind waiters - fast ordering with a smile. I had some of the best meat ever have tasted, served in a professionel manner.
Easy to contact the staff as well as the also came and asked...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
485,"Know the place from when it was called Sebastian and it still looks the same way. Great food and super nice staff from Marseille, Dublin and Riga - no Danish spoken, but no problem. Noise level above average, but had a good evening.","Nykoebing, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
505,"Food was good but unamusing, I guess the reputation exceeded the expectations, friendly no-nonsense service, would come back","Helsingoer Municipality, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
507,"Found ""Tight"" on Trip advisor and went with friends the other night.
Atmosphere very nice and informal. Staff super friendly. Food excellent and prices very reasonable. Can only recommend this place.","Birkerod, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
538,I've taken work colleagues here several times and it never disappoints. Good selection of food and nice beers. Had the Foie Gras followed by the 'Surf and Turf' which were both good but declined dessert as I wanted a creme brulee and they only did...More,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
550,"Perfect ambiance
Excellent food
Great service
Good wine selection
Decent pricing
Favorite in Copenhagen,  very central.
Have recommended this restaurant to all of our friends,  and everyone loves it!","Copenhagen Region, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
586,"I totally loved the food and the service! 
All waiter are polite, well trained and they take care of each single guest.
Went there few times for work meeting or just for a simple dinner with friends and I never got disappointed. The quality of...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
601,"A very good experience overall. We got one of our best burgers ever and also had a couple of good drinks and beers from the well assorted drinks and beer card. 

Also reasonable prices and very good service offered. 

We will definitely come back to...More","Soborg, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
615,"This place is great for a variety of different occasions. Whether it be a date or a family dinner, the food is delicious and the wait staff is very helpful. The menu is dependable and the atmosphere is great.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
619,"The best Surf 'n' Turf in Copenhagen - no doubt. Friendly staff, great location and very cozy! Will come back for sure!","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
653,"I have been here for a dinner with friends. Located on a side street by the main walking street of Copenhagen, it is clean and cozy, with the tables supported by a real barrel. The service was very good, our waitress fast and very nice....More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
718,"This is primarily about my latest visit, but I've been here before hosting a large group of colleagues, then another time with my wife, and a couple more times with friends. Consistently a good experience. Nice relaxed ambience even when busy. If you are with...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
742,"We went to Tight to get something different than the typical Danish Christmas cuisine one tends to get too much of in December and we were not disappointed. The food is great, steaks are awesome and so is the wine and appetisers. The owners are...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
743,"Had a good experience a few days ago when I went here with a friend. I went for the cod with ""baby"" potatoes and seasonal greens. It is delightful, light and well seasoned. My companion went for the 'SURF 'N TURF' which seems to be...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
763,"In this very cosy and laid back atmosphere a peculiar mix of Canadian, French, and Australian style have settled in and materialized through a very welcoming staff with all kinds of cultural backgrounds. 

We decided for a five course tasting menu with accompanying wines, which...More","Odder, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
766,"We simply love this quirky restaurant - quirky is the building - the food is excellent and comes highly recommended - we are especially fans of the Schnitzel Deluxe, Surf 'n Turf and okse carpaccio - the service is always fun and engaged - Tight...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
773,"Cozy restaurant in the city center , with a fine selection of dishes. The food is great and the prices very fair. The staff is friendly and the food served at a reasonable pace . A place I will visit again.","Grasten, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
778,"Went out for dinner with friends on a Saturday. The food was good, the restaurant packed with loud people, and we were served black (coal) buns. Waiters were energetic (australian?) and the place had a good vibe.","Odense, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
783,"I was booking for a big party with people arriving from all over and the staff were so helpful. Thank you to Maria for all her help. 
We preordered food and it was amazing. All in all such a good experience and we are surely...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
789,"This restaurant is the perfect combination of atmosphere, food and service. All great. We enjoyed the duck and the surf'n'turf - both very nice, but there was some order envy when we saw out neighbours' burgers. They were two big guys and both of them...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
820,"Good, friendly service, good value for money and some very nice dishes.
I was a bit disappointed by the burger and the Pavlova dessert. They weren't bad or anything, but nothing special IMO whereas everything else was great. It's a place I would want to...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
833,"We had high expectations due to the review ranking.   It's a nice enough, atmospheric place.  Although not suitable for disabled guests and the floorboards move whenever someone walks past your table on the first floor.

The food however was a real disappointment.  We took the...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
834,"Its high placement on Tripadvisor does not match the uninteresting food and lousy service.
My wife and I had the recommended 5 course menu with wine menu. The foie gras was not fois gras but a pate. The rest of the courses were very uninspiring....More","Frederiksberg, Denmark","<span class=""ui_bubble_rating bubble_20""></span>",,20, Denmark,Local
845,"I have visited this restaurant plenty of times, even chose them to host my birthday dinner for about 18 people. The service is fantastic, and the quality of the food is out of this world. (Tried most dishes on the menu by now.)

The Surf...More","Koege, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
860,Went to Tight on my third night in Copenhagen with a high school friend of 40 years and my daughter who is living here for a year.  We all three had different main dishes and split each into 1/3s.  All were excellent!  The gal who...More,"Copenhagen Region, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
867,"Looks much smaller from outside, but when you step in... 
Friendly staff, great kitchen and most surprising that owners are working them self.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
879,The restaurant appears to be aimed at unsophisticated international diners who want unchallenging food of a good quality - this it does very well. Generally suited to younger rather than mature diners. Families with teenagers would probably also enjoy it. The significant number of steps...More,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
882,"It was a nice place, good food and very good wine. Good value for money. A little noisy but not too much.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
885,"Atmosphere good, lovely staff but food is a bit average, we had birthday dinner there and i was nnot excited about the taste of food.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
912,"Went here after friends recommennded it. Really nice decor and table setting, food choise limited but all good, good beer and wine choice. Great staff, very friendly and relaxed atmosphere. Good meal all round and not expensive.","Gentofte, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
924,"Nestled in one of central Copenhagen’s hyggelig (cozy) backstreets, this is the place for a good reasonably priced meal. The staff are friendly and efficient (which is rarer than you might think in Copenhagen) and they have good knowledge of the menu. But the best...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
926,Had my sons 18th birthday here with 20 guests in the lounge ... great atmosphere and good food. Definitely worth a vist if you are in Copenhagen.,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
930,We went for a work dinner. Nice place with good prices. You get value for your money. The food was great and the staff was helpful and friendly.,"Roskilde, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
967,"There are many things to like about this place. The food was good, service was fine. The place had an international atmosphere and I felt comfortable. 👍🏻","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
983,My girlfriend and I visit this place regularly and we've never been disappointed. The food is always excellent and the staff are very friendly and helpful. The restaurant also has a wonderful atmosphere. Even when it's busy it doesn't get too noisy so you can...More,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
993,Had mussels for appetiser and surf and turf for main. Both really delicious and good portion too. The price is actually towards average to lower end for Copenhagen. Nice and quick service.,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
998,"Considering the very reasonable prices, this was a really nice experience. The starters were fantastic and the mains just about. My lamb cutlets was slightly overcooked - and thats the only reason for 4 stars 'only'.

Do try!","Horsens, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1005,"This is the place to go whether you are on your own, with a special one ore in a group.

As a local I go quite often and every single time I feel spoiled with tasteful well presented food by friendly staff wit great genuine...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1008,I have chosen this restaurant to celebrate my boyfriend's birthday after a friend of mine who knew the place / owner suggested the place. I must say I am not a big fan of eating out. I eat because I have to live. But since...More,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1022,"Me and some friends went for lunch to celebrate a birthday. Even though it was during the day, and the streets were busy, we were welcomed by the warm and relaxing atmosphere inside, which immediately made us forget the dull and wet weather outside. 

We...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1033,"I visited Tight for the first time today, after I heard and read many positive comments about it.
 Everything was amazing: the food was delicious and more than enough (I had the Tight burger; it is huge and it taste amazing), while the service was...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1043,"I liked this place a lot, have been here with friends a couple of times, always great food and service, and I like the interior a lot. Worth a visit. And try the surf and turf.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1048,"This place is a dud. Lots of potential, poor execution.  Had the Burger which was overpriced and under delivered. Of the three of us that ordered it, not a single one enjoyed their burger. They were tolerable, but the combination of ingredients used in the...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_20""></span>",,20, Denmark,Local
1049,"Hi

I went to Tight with a couple of colleagues on a teamday off-site and we went to this place based on ratings on Tripadvisor. 

We were not disappointed with our decision. We all got the burger which we all five thought were really good...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1053,"Visited with my wife for Valentines dinner and was served a nice glas of Champagne with strawberry in the occasion which was a nice touch 
Both my wife and I had Mussles for starter. I was not impressed but my wife was very fond of...More","Koege, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1058,"Great food, very observant and kind staff and at a very reasonable price. What's not to like? I am happy to give this place my highest recommendations. I will definitely revisit.","Virum, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1093,Tight is a great place on a map of Copenhagen. Restaurant has a very international atmosphere - you more likely here english than danish all the time:-) Food has a wonderful taste - all dishes are worth recommending. I have been there 3 times and...More,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1095,"Been there twice by now; It's a popular place, and can be a bit noisy when full. The service is excellent and the food is very good indeed. The BBQ ribs were the best I've had outside of North America. The burger, while interesting, is...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1098,"This restaurant gives u the sense of feeling like ur in a hip uptown restaurant in the big apple! 
Such nice service and atmosphere, highly recommended!","Aalborg, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1099,I had seen good reviews for this place and it came up as having one of the best burgers in Copenhagen. That is exactly what I tried and it was great. Will go again to try the rest of the menu.,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1117,"Been here several times with friends and family and never went out dissatisfied. Excellent food, service in top and nice atmosphere! Best recommandations!","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1120,"I just love Tight, the staff are nicest, cheerful and most helpful always. The food is absolutely amazing and is so reasonably priced. There's something for everyone. I had my last birthday there and all of my guests loved the food, ambience and staff. I...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1121,Really good food and the service was outstanding. Make sure to reserve in advance. Most tables are meant for groups though. Great value for the excellent food.,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1131,"I lived in Copenhagen for the last 4 years and Tight is my favourite restaurant. Been here several times and every visit was a good one. Food is so good, staff are lovely and very efficient. Love it here and will definitely be back.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1132,"Cons: tables are a tad small, the seating around the larger tables in the lower floor is also not the best. These are very minor annoyances though.
Pros: All of their meats are of very good quality (you can order the steak 'Bleu' and it...More","Solroed Strand, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1133,"I've been there a few times already and it has been a pleasure each time. Whether with your loved one, family or friends, you'll definitely have a great time here.
It's a lovely place with nice food, friendly professional service and cozy atmosphere. 
It's a...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1134,"Tight has once again proved to be the best dining experience in Copenhagen. The quality of food and service is continuously exceptional. You get a lot for the price you pay. Quick, attentive and friendly service is a rare occasion in Copenhagen- but you can...More","Copenhagen, Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1144,"We had a wonderful meal served by very hospitable waiters in a busy, buzzing restaurant. Well worth a visit.","Hillerød, Frederiksborg, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1184,"We were there yesterday at 17th June. The food was great! Delicious taste and nice serving. Wine was fabulous. The service was on the top. Definitely I will recomend to all I know.
Thank you Tight for great evening","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1186,"I had a very nice experience at Tight. We booked a table on a Friday night, and the restaurant was quite busy. Service was friendly and very good. The server even stopping by to check if we were ok with drinks :) We ordered the...More","Roskilde, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1191,"Great service, great food, nice atmosphere... What more do you need ?
I strongly recomand this place for any event.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1194,"The atmosphere was quite intriguing and cosy.  The food was above average.  The service was OK, friendly at entrance and when they came, but there were too many periods of being ignored.  We elected not to return, but may do so on our next trip....More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1214,The first time was great. This second time was good. I sincerely recommend this place. It is nice to become 27 years of age.,"Fredericia, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1224,Good central location and a really nice atmosphere. The cocktails were nice and the food good and not too expensive. The desserts were a bit on the small side for price but overall an enjoyable meal.,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1225,"Great menu - influenced by Canadian & Australian cuisine, fused with Scandinavian style.  Gravelax with maple syrup was a classic example.  Service and location are also superb - give it a try.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1227,"... because it's hard enough to get a table as it is. Tight's bigger than it looks from the outside, but it's still popular enough that booking's advised.

The food is pretty straightforward, good quality casual dining, but - for Denmark - has a few...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1229,"Nicem dark and cosy, mood feels more stateside than Danish, good place for a beer and a burger. Service was great.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
1230,"Deliscious food and a service second to none. I'm sure the waiters have pre-cognitive abilities, because they are always there before you realize you need them. Service is with a smile and a professionel approach.
Best experience was when they switched beer brands, and I...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1236,"Dark, soothing ambience complemented a very satisfying culinary experience. Both the main dish (pork schnitzel deluxe) and the dessert (nanaimo bar) were excellent, and everyone at the place was very friendly, especially Bill at the counter. I actually felt bad I couldn't tip as much...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
1242,this was my second visit to tight with my friend . Mussels as a starter was great and burger was too tasty. we both liked a lot and will be coming again.,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
